x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,y,y_1,y_2,y_3,y_4,y_5
0,-0.176394,-0.594123,-0.798429,-0.983862,-0.158561,-0.272803,-0.78676,-1.187752,0.154978,-0.082804,-0.772592,-0.758027,0.34628,0.022899,-0.858614,-0.50945,0.070493,0.036189,-0.367863,-0.924758,0.086237,0.049776,-0.833829,-0.915985,0.503487,0.24675,-0.313906,-0.561342,0.226489,0.081165,-0.784941,-0.767606,0.244181,0.093838,-0.534637,-0.761265,3,4.0,3.0,3.0,3.0,3.0
1,-1.940339,-2.2548,1.664634,2.667381,-1.928316,-2.151641,1.67362,2.666337,-1.923623,-2.226075,1.391311,2.66643,-2.006196,-2.252823,1.481217,2.976712,-1.997817,-2.234051,2.144449,2.962707,-1.99412,-2.222517,1.85601,2.754557,-1.85283,-2.165241,1.491962,2.808625,-1.84871,-2.151056,1.789246,3.01318,-1.845121,-2.272822,1.501841,3.017414,1,2.0,1.0,1.0,4.0,1.0
2,-0.984869,0.017705,-0.137607,-0.190113,-0.969698,-0.098028,-0.126658,-0.184633,-1.255501,-0.432726,-0.351833,-0.178503,-1.197532,0.022899,-0.138666,-0.139706,-0.889794,0.036189,-0.367863,-0.346891,-0.879643,-0.343506,-1.013152,-0.496495,-0.674672,0.24675,-0.073123,0.017871,-0.662882,0.475086,0.412356,0.230101,-0.651234,-0.08147,-0.295052,-0.341412,0,0.0,3.0,0.0,0.0,0.0
3,0.411587,0.148811,-0.377906,-0.613446,0.431358,0.164136,-0.606733,-0.818182,0.154978,0.179637,-0.592266,-0.810711,0.34628,0.15419,-0.438644,-0.879195,0.365966,0.167164,-0.42768,-0.872224,0.383431,0.006078,-0.654507,-0.863549,0.135312,-0.104085,-1.036253,-0.982588,-0.144082,-0.444064,-1.0244,-1.187693,-0.128909,-0.432086,-1.193498,-1.338564,3,3.0,4.0,3.0,3.0,3.0
4,-0.102897,1.372468,1.244111,1.026968,-0.084821,1.387565,1.253555,0.818486,-0.067729,1.229403,1.271094,0.822492,-0.09481,1.423343,1.7212,0.863886,-0.077243,1.43326,1.366829,0.861375,-0.359554,1.273318,1.377816,0.866849,-0.159228,1.211546,1.431766,0.913019,-0.144082,1.21916,1.430057,0.7027,0.169563,1.058033,1.142463,0.708221,0,5.0,3.0,2.0,0.0,0.0
5,-1.205362,-0.637825,-0.798429,-0.560529,-1.190918,-0.622354,-1.026798,-0.554203,-1.403973,-0.738907,-1.013025,-0.547291,-1.418077,-0.546032,-0.738623,-0.667912,-1.406871,-0.531371,-0.726764,-0.451958,-1.399733,-0.343506,-0.475184,-0.444059,-1.337386,-0.498775,-0.855666,-0.403375,-1.32991,-0.487833,-0.844805,-0.40003,-1.54665,-0.475913,-0.594534,-0.393894,0,2.0,5.0,0.0,0.0,0.0
6,-1.205362,-0.768932,0.403065,0.444886,-0.674739,0.469993,0.713472,0.237733,-0.364672,0.66078,0.730119,0.453704,-1.932681,-2.165295,1.121243,2.237223,-1.702344,-1.535516,0.529392,1.281641,-1.176837,-0.343506,0.301881,0.499795,-1.85283,-2.25295,0.82981,2.229412,-1.84871,-2.238594,1.130733,2.43556,-1.54665,-2.141341,0.842981,2.230189,1,4.0,2.0,4.0,3.0,1.0
7,-1.866841,-2.298502,1.904933,2.773215,-1.633357,-2.282722,1.553602,2.402358,-1.62668,-2.269815,1.271094,2.192275,-1.418077,-2.165295,1.361226,2.76543,-1.923949,-2.365027,2.024815,2.752574,-1.696927,-2.266215,1.377816,2.230194,-1.337386,-1.814406,0.589028,1.123642,-1.033453,-2.019749,0.831409,1.752918,-1.322796,-1.878379,0.303913,0.918148,1,1.0,0.0,1.0,1.0,1.0
8,0.485085,0.323619,-0.197682,-0.08428,0.800057,0.513687,0.05337,-0.079042,0.526157,0.004676,-0.171507,-0.073135,0.125735,-0.020865,-0.618631,-0.826374,0.439835,0.167164,-0.188412,-0.399425,0.754923,0.355661,-0.176313,-0.181877,-0.232863,-0.016376,-0.915862,-1.035244,0.07826,-0.006373,-0.90467,-0.872628,0.393417,0.356801,-0.175259,-0.656302,3,4.0,4.0,1.0,3.0,3.0
9,0.999568,0.498427,-0.377906,-0.401779,1.021276,0.338911,-0.126658,-0.554203,1.045807,0.354598,-0.111399,-0.547291,0.640339,0.591829,0.101317,-0.139706,0.956912,0.385456,-0.367863,-0.346891,0.680625,0.399359,-0.355636,-0.496495,1.092566,0.466022,-0.073123,-0.350719,0.819403,0.475086,-0.306022,-0.557562,0.841124,0.269146,-0.295052,-0.551339,3,2.0,3.0,0.0,2.0,3.0
10,-1.719846,-2.2548,0.282916,1.661967,-1.707096,-2.239028,0.293407,1.50483,-1.923623,-2.226075,0.30936,1.665435,-0.756443,-1.421309,0.101317,1.603376,-1.702344,-2.234051,0.110673,1.754441,-1.696927,-2.222517,0.122558,1.758267,0.356217,-0.191794,-0.133319,0.597084,-1.181682,-1.757135,0.352491,1.700407,-1.397414,-2.141341,0.363809,1.705373,1,1.0,1.0,1.0,1.0,1.0
11,1.661048,1.066554,0.883663,0.391969,1.684934,1.256483,1.193546,0.39612,1.713929,1.098182,0.67001,0.611756,2.037121,1.379579,1.481217,0.969528,1.769463,1.607893,1.486463,0.756308,1.795102,1.622901,1.198494,0.761977,1.387105,1.386964,1.552157,0.807707,2.079345,1.613081,1.250463,1.017765,1.73654,1.627785,1.262255,0.813184,2,2.0,3.0,2.0,0.0,2.0
12,-0.764376,0.498427,0.823588,0.497802,-0.45352,0.513687,0.593453,0.237733,-0.438908,0.179637,0.068926,0.032233,-0.462384,0.548065,0.761269,0.33568,-0.446584,0.734724,1.366829,0.493642,-0.433852,0.923734,1.078945,0.499795,-0.453767,0.860711,0.890006,0.597084,-0.144082,0.869008,0.891274,0.597678,-0.128909,0.882725,0.902877,0.603258,0,5.0,5.0,0.0,3.0,0.0
13,-0.764376,-0.900038,-1.5794,-0.878029,-0.2323,-0.884518,-0.906779,-0.870978,0.080742,-0.345245,-0.652375,-0.652659,-0.462384,-0.764851,-1.218588,-0.773554,-0.446584,-1.14259,-1.444568,-0.767158,-0.136658,-0.430902,-1.013152,-0.548931,-0.674672,-0.718047,-1.277035,-1.0879,-1.181682,-1.494521,-1.263859,-1.292715,-0.651234,-1.001838,-1.253394,-0.91871,4,2.0,4.0,4.0,4.0,4.0
14,-0.984869,0.323619,0.282916,0.286136,-0.969698,0.513687,0.533444,0.501711,-0.958558,0.179637,0.549793,0.1376,-0.462384,0.504301,0.581282,0.230039,-0.742057,0.516432,0.828476,0.493642,-0.433852,0.530453,0.600752,0.237614,-0.453767,0.334459,0.769615,0.333806,-0.440539,0.562624,0.771544,0.335123,-0.42738,0.751244,1.382048,0.498294,0,3.0,4.0,1.0,0.0,0.0
15,-0.690878,-1.249654,0.162766,0.444886,-0.37978,-0.622354,-0.306686,-0.184633,-0.067729,-0.257765,-0.772592,-0.916079,0.125735,-0.370976,-0.738623,-1.037657,-0.077243,-0.356737,-1.444568,-1.239957,-0.359554,-0.649391,-1.431571,-1.387912,-0.159228,-0.498775,-1.7586,-1.509145,0.152375,-0.487833,-1.503318,-1.292715,-0.128909,-0.344432,-1.49298,-1.286082,5,1.0,5.0,5.0,5.0,5.0
16,1.220062,0.891745,0.282916,0.127386,1.242496,0.906932,0.773481,0.132141,1.268514,0.923221,0.549793,0.348336,1.301973,0.854412,0.641278,0.177218,1.326253,0.8657,0.649025,0.178442,1.349311,0.880036,0.361655,0.185177,1.166201,0.992274,0.649224,0.386461,1.486431,1.000315,0.891274,0.387634,1.512686,1.014206,0.663291,0.393331,2,2.0,5.0,2.0,2.0,2.0
17,-1.205362,-0.463017,-0.317831,-0.348863,-1.190918,-0.447579,-0.546723,-0.34302,-1.181266,-0.257765,-0.291724,-0.336555,-1.197532,-0.370976,-0.49864,-0.245347,-1.185267,-0.182104,-0.188412,-0.662091,-1.176837,-0.168714,-0.176313,-0.077004,-1.042846,-0.191794,-0.614884,-0.192752,-1.033453,-0.181449,-0.186293,-0.189986,-0.725852,0.006184,-0.175259,-0.183967,0,0.0,0.0,5.0,5.0,0.0
18,1.073066,0.498427,0.042617,-0.190113,1.095016,0.688462,0.05337,-0.184633,1.120043,0.70452,0.068926,-0.178503,0.934398,0.548065,0.041321,-0.245347,0.956912,0.734724,-0.188412,-0.084225,0.977819,0.574151,0.301881,-0.234313,1.018931,0.509876,0.107463,-0.192752,1.041746,0.693931,0.113031,0.020058,0.766507,0.532109,0.124223,0.025959,3,0.0,5.0,3.0,3.0,3.0
19,1.881541,1.285064,1.063887,0.497802,1.906154,1.518646,1.073527,0.712894,1.936636,1.535584,1.391311,0.717124,1.963606,1.467107,1.841192,0.599783,1.695595,1.258626,1.486463,0.598708,1.720804,1.273318,0.899623,0.814413,1.75528,1.386964,0.890006,0.386461,1.782888,1.000315,0.891274,0.387634,1.512686,0.838898,0.663291,0.025959,2,1.0,2.0,2.0,2.0,5.0
20,1.661048,1.590978,1.244111,0.815302,1.389975,1.606034,1.253555,0.448916,1.120043,1.229403,0.730119,0.453704,1.669547,1.423343,1.361226,0.705425,1.400122,1.040333,1.127561,0.493642,1.42361,1.054828,0.839849,0.29005,1.387105,1.036129,0.82981,0.491773,1.11586,1.044084,0.59195,0.230101,1.139596,1.058033,0.303913,0.025959,3,3.0,2.0,1.0,1.0,3.0
21,-0.176394,-0.72523,-1.939848,-1.671777,-0.674739,-0.709742,-1.746909,-1.451731,-0.438908,-0.870128,-1.914651,-1.653654,-0.388869,-0.633559,-2.118524,-1.513043,-0.372716,-0.618688,-1.683835,-1.345024,-0.359554,-0.605693,-1.670668,-1.492785,-0.674672,-0.542629,-1.698404,-1.403834,-0.366425,-0.531602,-1.682913,-1.397737,-0.651234,-0.51974,-1.433084,-1.391045,5,5.0,5.0,5.0,2.0,4.0
22,1.367057,0.848043,0.823588,0.127386,1.389975,1.038013,0.83349,0.132141,1.416986,0.879481,0.549793,0.1376,1.375487,0.854412,0.581282,0.018756,1.400122,0.8657,0.828476,0.020842,1.126416,0.880036,0.301881,0.027868,1.239836,0.729148,-0.193515,-0.08744,0.967631,0.737701,0.292626,-0.084964,0.99036,0.751244,0.303913,-0.079004,2,2.0,4.0,2.0,2.0,2.0
