x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,y,y_1,y_2,y_3,y_4,y_5,y_6
0,201.0,133.0,9.0,0.0,0.0,0.611111,0.240741,0.222222,0.0740741,0.740741,0.333333,1.77778,0.111111,-1.22222,3.11111,-1.88889,1.77778,0.962963,-1.99906,6,4.0,2.0,6.0,4.0,6.0,6.0
1,142.0,33.0,9.0,0.0,0.0,0.499999,0.623609,0.500001,0.349603,110.593,96.7778,128.667,106.333,-41.4444,54.2222,-12.7778,128.667,0.247776,-2.40802,5,0.0,5.0,0.0,5.0,5.0,5.0
2,23.0,188.0,9.0,0.0,0.0,1.66667,0.488888,7.38889,37.2185,30.5926,27.4444,37.7778,26.5556,-9.44444,21.5556,-12.1111,37.7778,0.284148,-2.01451,4,3.0,4.0,5.0,6.0,4.0,4.0
3,156.0,181.0,9.0,0.0,0.0,0.5,0.349603,1.5,0.505525,11.6667,9.0,9.77778,16.2222,-8.0,-5.66667,13.6667,16.2222,0.445979,2.20664,3,4.0,3.0,1.0,3.0,4.0,3.0
4,31.0,42.0,9.0,0.111111,0.0,1.27778,0.685184,0.944444,0.774073,127.037,117.0,141.778,122.333,-30.1111,44.2222,-14.1111,141.778,0.174634,-2.31442,5,2.0,5.0,3.0,5.0,5.0,5.0
5,70.0,197.0,9.0,0.0,0.111111,2.72222,2.01568,5.27778,3.27561,54.8519,48.8889,68.0,47.6667,-17.8889,39.4444,-21.5556,68.0,0.298704,-2.03351,4,1.0,4.0,3.0,5.0,4.0,4.0
6,96.0,133.0,9.0,0.0,0.0,0.0555556,0.0185185,0.222222,0.0296296,0.481482,0.0,1.44444,0.0,-1.44444,2.88889,-1.44444,1.44444,1.0,-2.0944,2,2.0,1.0,2.0,2.0,4.0,2.0
7,62.0,26.0,9.0,0.0,0.0,0.777777,0.272165,0.444444,0.403686,112.222,98.3333,130.889,107.444,-41.6667,56.0,-14.3333,130.889,0.248698,-2.38614,5,5.0,0.0,2.0,5.0,5.0,4.0
8,31.0,96.0,9.0,0.0,0.0,2.33333,3.6,2.77778,6.16296,3.77778,1.0,8.0,2.33333,-8.33333,12.6667,-4.33333,8.0,0.909236,-2.26821,2,5.0,2.0,4.0,2.0,2.0,2.0
9,141.0,62.0,9.0,0.0,0.0,1.88889,2.11852,3.38889,6.37407,27.3704,23.7778,37.6667,20.6667,-10.7778,30.8889,-20.1111,37.6667,0.450305,-1.88841,0,4.0,6.0,6.0,6.0,0.0,0.0
10,119.0,85.0,9.0,0.0,0.0,0.499999,0.299998,0.888887,0.607409,101.037,88.7778,122.556,91.7778,-36.7778,64.5556,-27.7778,122.556,0.275467,-2.18634,5,0.0,2.0,5.0,5.0,6.0,5.0
11,115.0,111.0,9.0,0.0,0.0,0.555556,0.403687,1.94444,1.04172,18.037,9.66667,30.1111,14.3333,-25.1111,36.2222,-11.1111,30.1111,0.679513,-2.33332,2,0.0,3.0,6.0,2.0,2.0,2.0
12,211.0,107.0,9.0,0.111111,0.0,2.55556,2.25185,2.05556,2.81852,16.7407,11.7778,25.7778,12.6667,-14.8889,27.1111,-12.2222,25.7778,0.547173,-2.15946,6,6.0,6.0,1.0,1.0,6.0,6.0
13,92.0,44.0,9.0,0.111111,0.0,0.722223,0.574135,1.16667,1.04881,123.815,113.444,138.111,119.889,-31.1111,42.8889,-11.7778,138.111,0.178428,-2.36728,5,0.0,1.0,6.0,4.0,4.0,5.0
14,40.0,57.0,9.0,0.0,0.0,1.16667,0.722651,1.38889,0.800464,123.556,112.222,139.0,119.444,-34.0,46.3333,-12.3333,139.0,0.192488,-2.37605,5,5.0,5.0,3.0,4.0,6.0,5.0
15,196.0,95.0,9.0,0.0,0.0,1.72222,1.12382,1.33333,1.26491,7.62963,6.77778,10.7778,5.33333,-2.55556,9.44444,-6.88889,10.7778,0.512566,-1.74926,6,6.0,6.0,6.0,6.0,1.0,6.0
16,56.0,243.0,9.0,0.0,0.0,2.22222,5.27407,2.55556,0.829629,6.48148,5.11111,4.88889,9.44444,-4.11111,-4.77778,8.88889,9.44444,0.525437,2.03363,3,0.0,3.0,3.0,3.0,3.0,3.0
17,204.0,156.0,9.0,0.0,0.0,0.5,0.278886,2.0,0.557773,23.7037,17.3333,25.4444,28.3333,-19.1111,5.22222,13.8889,28.3333,0.389034,2.86493,3,1.0,3.0,3.0,3.0,3.0,3.0
18,91.0,247.0,9.0,0.0,0.0,2.66667,1.24722,2.22222,1.42465,12.6296,9.55556,12.4444,15.8889,-9.22222,-0.555556,9.77778,15.8889,0.401833,2.55309,3,6.0,3.0,3.0,5.0,3.0,3.0
19,197.0,182.0,9.0,0.0,0.0,2.22222,1.25904,3.44444,2.82581,55.8519,50.1111,69.1111,48.3333,-17.2222,39.7778,-22.5556,69.1111,0.300643,-2.00156,4,2.0,0.0,0.0,4.0,4.0,4.0
20,125.0,56.0,9.0,0.0,0.0,2.66667,3.64444,2.72222,1.57407,28.6296,26.1111,37.6667,22.1111,-7.55556,27.1111,-19.5556,37.6667,0.41394,-1.81991,0,3.0,0.0,4.0,1.0,0.0,0.0
21,164.0,178.0,9.0,0.222222,0.0,1.38889,0.862965,2.5,1.45556,23.8148,20.2222,21.1111,30.1111,-10.7778,-8.11111,18.8889,30.1111,0.329212,2.19031,3,3.0,0.0,6.0,3.0,3.0,3.0
22,132.0,84.0,9.0,0.0,0.0,3.0,1.22927,0.888889,0.45542,8.88889,7.33333,11.7778,7.55556,-4.66667,8.66667,-4.0,11.7778,0.380483,-2.13694,1,4.0,1.0,0.0,1.0,1.0,1.0
23,187.0,86.0,9.0,0.0,0.0,1.05556,1.06284,3.05556,2.54224,6.7037,4.66667,10.8889,4.55556,-6.11111,12.5556,-6.44444,10.8889,0.594226,-2.05447,6,6.0,6.0,6.0,6.0,6.0,6.0
24,18.0,138.0,9.0,0.0,0.0,0.888889,0.562963,0.833333,0.3,5.74074,7.33333,6.55556,3.33333,4.77778,2.44444,-7.22222,7.33333,0.543871,-0.862108,0,4.0,5.0,3.0,0.0,0.0,0.0
25,222.0,62.0,9.0,0.0,0.0,0.277778,0.250924,0.666667,0.557773,6.40741,4.11111,11.4444,3.66667,-6.88889,15.1111,-8.22222,11.4444,0.680808,-2.03415,6,5.0,4.0,2.0,5.0,6.0,6.0
26,77.0,36.0,9.0,0.0,0.0,0.555556,0.172137,1.05556,0.64693,111.926,98.2222,130.333,107.222,-41.1111,55.2222,-14.1111,130.333,0.24634,-2.38738,5,3.0,5.0,4.0,5.0,5.0,5.0
27,188.0,110.0,9.0,0.0,0.0,0.777778,0.518518,0.777778,0.962963,4.22222,2.77778,7.44444,2.44444,-4.33333,9.66667,-5.33333,7.44444,0.675265,-2.02123,6,6.0,1.0,1.0,0.0,6.0,3.0
28,9.0,236.0,9.0,0.0,0.0,1.83333,3.45556,3.05556,5.52963,11.0741,9.44444,9.44444,14.3333,-4.88889,-4.88889,9.77778,14.3333,0.376554,2.08323,3,0.0,0.0,3.0,3.0,3.0,3.0
29,227.0,69.0,9.0,0.0,0.0,3.61111,45.9296,4.33333,36.4,11.0741,6.88889,16.0,10.3333,-12.5556,14.7778,-2.22222,16.0,0.604281,-2.48187,2,0.0,5.0,2.0,0.0,2.0,2.0
30,24.0,172.0,9.0,0.0,0.0,1.16667,0.91287,9.77778,5.45554,42.037,38.0,50.3333,37.7778,-12.1111,24.8889,-12.7778,50.3333,0.249836,-2.14372,4,3.0,5.0,1.0,4.0,4.0,4.0
31,118.0,126.0,9.0,0.0,0.0,0.666667,0.4,1.83333,2.12222,20.5556,16.1111,28.6667,16.8889,-13.3333,24.3333,-11.0,28.6667,0.437078,-2.1588,1,6.0,1.0,0.0,6.0,1.0,1.0
32,233.0,97.0,9.0,0.0,0.0,0.388889,0.196296,0.555555,0.207407,2.11111,0.111111,5.55556,0.666667,-6.0,10.3333,-4.33333,5.55556,0.984127,-2.19138,2,4.0,6.0,2.0,2.0,2.0,2.0
33,22.0,87.0,9.0,0.0,0.0,1.88889,1.25904,1.16667,0.623611,64.037,55.7778,80.3333,56.0,-24.7778,48.8889,-24.1111,80.3333,0.3097,-2.10507,1,2.0,3.0,4.0,1.0,3.0,1.0
