x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,y,y_1,y_2,y_3,y_4
0,51.0,64.0,9.0,0.0,0.0,17.5,1.20646,0.666667,0.699206,40.0,35.2222,50.1111,34.6667,-14.3333,30.3333,-16.0,50.1111,0.310101,-2.03027,1,6.0,1.0,1.0,5.0
1,222.0,189.0,9.0,0.0,0.0,0.833333,1.00554,1.0,1.19257,17.2963,14.5556,14.1111,23.2222,-8.22222,-9.55556,17.7778,23.2222,0.41042,2.06044,3,1.0,2.0,0.0,3.0
2,168.0,40.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,6.0,0.0,1.0,6.0
3,108.0,146.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,2.0,0.0,2.0
4,218.0,115.0,9.0,0.0,0.0,0.944444,0.534027,0.388889,0.389682,22.963,19.4444,29.4444,20.0,-10.5556,19.4444,-8.88889,29.4444,0.339149,-2.14867,6,1.0,6.0,6.0,2.0
5,244.0,211.0,9.0,0.0,0.0,1.66667,1.33333,2.0,2.31111,13.6296,10.7778,12.8889,17.2222,-8.55556,-2.22222,10.7778,17.2222,0.374806,2.44102,3,3.0,3.0,3.0,3.0
6,145.0,248.0,9.0,0.0,0.0,2.05556,1.71809,2.11111,1.37706,26.8889,23.2222,25.1111,32.3333,-11.0,-5.33333,16.3333,32.3333,0.291675,2.2851,3,3.0,2.0,1.0,3.0
7,221.0,201.0,9.0,0.111111,0.0,1.44444,1.12875,2.44444,0.834444,19.1481,14.6667,17.6667,25.1111,-13.4444,-4.44444,17.8889,25.1111,0.416762,2.38975,3,3.0,3.0,1.0,3.0
8,221.0,69.0,9.0,0.0,0.0,1.55556,0.807372,0.722223,0.854184,36.963,36.6667,40.2222,34.0,-0.888889,9.77778,-8.88889,40.2222,0.154094,-1.64013,1,1.0,1.0,1.0,5.0
9,133.0,67.0,9.0,0.0,0.0,1.38889,1.3963,2.11111,1.22963,27.1481,25.1111,35.8889,20.4444,-6.11111,26.2222,-20.1111,35.8889,0.429308,-1.76836,0,0.0,0.0,0.0,1.0
10,94.0,13.0,9.0,0.0,0.0,1.05555,0.507406,1.66666,1.24444,141.593,134.889,149.889,140.0,-20.1111,24.8889,-4.77778,149.889,0.100091,-2.44927,5,5.0,0.0,4.0,5.0
11,6.0,81.0,9.0,0.0,0.111111,4.11111,8.74075,5.72222,28.5074,12.4815,7.66667,18.8889,10.8889,-14.4444,19.2222,-4.77778,18.8889,0.628156,-2.38856,2,2.0,4.0,2.0,3.0
12,169.0,199.0,9.0,0.0,0.0,1.27778,0.443053,1.27778,1.04172,14.5185,11.1111,14.5556,17.8889,-10.2222,0.111111,10.1111,17.8889,0.378473,2.63418,3,3.0,3.0,6.0,3.0
13,244.0,79.0,9.0,0.0,0.0,0.555555,0.118518,1.05555,0.462965,89.4444,73.5556,115.333,79.4444,-47.6667,77.6667,-30.0,115.333,0.362172,-2.24163,5,5.0,5.0,0.0,5.0
14,84.0,200.0,9.0,0.0,0.0,4.72222,2.70322,2.5,1.53116,56.6667,50.6667,70.2222,49.1111,-18.0,40.6667,-22.6667,70.2222,0.300817,-2.01537,4,0.0,4.0,4.0,2.0
15,183.0,111.0,9.0,0.0,0.0,0.666667,0.311111,1.05556,0.507407,5.7037,6.88889,7.0,3.22222,3.55556,3.88889,-7.44444,7.33333,0.566138,-1.06507,0,0.0,1.0,5.0,0.0
16,42.0,57.0,9.0,0.0,0.0,1.38889,0.975628,0.999999,0.365148,65.7037,59.4444,79.4444,58.2222,-18.7778,41.2222,-22.4444,79.4444,0.266776,-2.0307,1,5.0,1.0,1.0,5.0
17,141.0,17.0,9.0,0.111111,0.222222,3.72222,4.4493,5.0,2.319,44.5926,40.3333,54.0,39.4444,-12.7778,28.2222,-15.4444,54.0,0.268186,-2.03005,1,0.0,1.0,1.0,0.0
18,118.0,109.0,9.0,0.0,0.111111,3.55556,2.65553,4.0,3.08401,13.2963,7.0,22.3333,10.5556,-18.8889,27.1111,-8.22222,22.3333,0.694627,-2.34409,2,3.0,2.0,2.0,3.0
19,32.0,240.0,9.0,0.0,0.0,1.27778,1.5408,2.27778,1.70511,12.1481,9.77778,9.33333,17.3333,-7.11111,-8.44444,15.5556,17.3333,0.470675,2.04387,3,3.0,6.0,6.0,5.0
