x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,y,y_1,y_2,y_3,y_4,y_5
0,936.0,942.0,625664.0,625675.0,52.0,9.0,11.0,8801.0,159.0,181.0,1387.0,0.0,1.0,40.0,0.6417,0.2121,0.5454,0.0043,0.6667,1.0,1.0,1.716,0.7782,1.0414,0.4545,0.3223,0.1715,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,1.0,0.0
1,238.0,287.0,315114.0,315142.0,671.0,91.0,39.0,86424.0,119.0,143.0,1360.0,0.0,1.0,40.0,0.35,0.5109,0.5714,0.036,0.5385,0.7179,0.0,2.8267,1.6902,1.4472,-0.4286,0.0062,0.9992,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1.0
2,530.0,538.0,508200.0,508224.0,169.0,9.0,24.0,18067.0,87.0,127.0,1687.0,1.0,0.0,80.0,0.6283,0.1198,0.3333,0.0047,0.8889,1.0,1.0,2.2279,0.9031,1.3802,0.6667,-0.1648,0.3241,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,1.0
3,787.0,798.0,2887288.0,2887307.0,137.0,21.0,19.0,15397.0,95.0,131.0,1690.0,1.0,0.0,70.0,0.9314,0.3445,0.5789,0.0065,0.5238,1.0,1.0,2.1367,1.0414,1.2787,0.4211,-0.122,0.3494,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0
4,1662.0,1670.0,2729960.0,2729972.0,55.0,11.0,12.0,4727.0,80.0,93.0,1690.0,1.0,0.0,70.0,0.0237,0.4271,0.6667,0.0047,0.7273,1.0,1.0,1.7404,0.9031,1.0792,0.3333,-0.3286,0.2018,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,0.0
5,803.0,814.0,135392.0,135403.0,98.0,14.0,11.0,10137.0,84.0,126.0,1358.0,0.0,1.0,200.0,0.8012,0.1901,1.0,0.0081,0.7857,1.0,0.5,1.9912,1.0414,1.0414,0.0,-0.1919,0.23,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,0.0,1.0,0.0
6,0.0,13.0,438867.0,438919.0,260.0,23.0,56.0,27344.0,46.0,127.0,1353.0,0.0,1.0,70.0,0.0,0.6154,0.25,0.0096,0.5652,0.9286,1.0,2.415,1.1139,1.716,0.75,-0.1784,0.9236,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,1.0
7,619.0,659.0,1292098.0,1292100.0,60.0,40.0,4.0,7750.0,102.0,164.0,1690.0,1.0,0.0,70.0,0.7325,0.25,0.05,0.0237,1.0,0.5,0.0,1.7781,1.6021,0.301,-0.95,0.0091,0.1852,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,1.0,1.0
8,41.0,209.0,4401486.0,4401544.0,5533.0,288.0,155.0,584291.0,43.0,126.0,1356.0,0.0,1.0,40.0,0.0605,0.4322,0.3452,0.1239,0.5833,0.3742,0.0,3.743,2.2253,1.7634,-0.6548,-0.175,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0
9,1333.0,1347.0,1436808.0,1436820.0,121.0,17.0,12.0,11890.0,67.0,125.0,1356.0,0.0,1.0,40.0,0.0133,0.2798,0.8571,0.0103,0.8235,1.0,0.0,2.0828,1.1461,1.0792,-0.1429,-0.2323,0.2901,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,1.0
10,1163.0,1171.0,2016193.0,2016200.0,52.0,8.0,7.0,6293.0,104.0,142.0,1620.0,1.0,0.0,70.0,0.5543,0.0714,0.875,0.0049,1.0,1.0,0.0,1.716,0.9031,0.8451,-0.125,-0.0545,0.1622,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0
11,43.0,194.0,1448373.0,1448535.0,12108.0,614.0,359.0,1402972.0,34.0,141.0,1402.0,0.0,1.0,40.0,0.0613,0.505,0.9321,0.1077,0.2459,0.4512,1.0,4.0831,2.179,2.2095,0.0679,-0.0948,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
12,1440.0,1450.0,220121.0,220146.0,138.0,17.0,25.0,16548.0,101.0,133.0,1633.0,0.0,1.0,250.0,0.2241,0.448,0.4,0.0061,0.5882,1.0,1.0,2.1399,1.0,1.3979,0.6,-0.0632,0.4138,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,1.0
13,1219.0,1234.0,3134228.0,3134249.0,118.0,32.0,21.0,12348.0,78.0,132.0,1364.0,1.0,0.0,80.0,0.1906,0.6254,0.7143,0.011,0.4688,1.0,1.0,2.0719,1.1761,1.3222,0.2857,-0.1825,0.5212,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,1.0,0.0,0.0
14,1084.0,1096.0,1635847.0,1635864.0,144.0,16.0,17.0,15517.0,84.0,134.0,1694.0,1.0,0.0,60.0,0.706,0.2941,0.7059,0.0071,0.75,1.0,1.0,2.1584,1.0792,1.2305,0.2941,-0.1582,0.3419,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0
15,168.0,181.0,973635.0,973704.0,540.0,69.0,70.0,66181.0,110.0,135.0,1354.0,1.0,0.0,70.0,0.2482,0.398,0.1884,0.0096,0.1884,0.9857,1.0,2.7324,1.1139,1.8389,0.8116,-0.0425,0.9814,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
16,2.0,10.0,421204.0,421233.0,161.0,13.0,29.0,18711.0,103.0,133.0,1687.0,0.0,1.0,200.0,0.0024,0.306,0.2759,0.0047,0.6154,1.0,1.0,2.2068,0.9031,1.4624,0.7241,-0.0921,0.385,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,1.0,1.0
17,375.0,384.0,519677.0,519708.0,209.0,24.0,31.0,24034.0,90.0,143.0,1692.0,1.0,0.0,143.0,0.4433,0.2509,0.2903,0.0053,0.375,1.0,1.0,2.3201,0.9542,1.4914,0.7097,-0.1016,0.4613,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0
18,41.0,213.0,4348250.0,4348321.0,6137.0,284.0,145.0,649137.0,48.0,125.0,1356.0,0.0,1.0,40.0,0.0605,0.4975,0.4128,0.1268,0.6056,0.4897,0.0,3.788,2.2355,1.8513,-0.5872,-0.1736,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0
19,1467.0,1482.0,1144047.0,1144070.0,245.0,20.0,23.0,23122.0,56.0,118.0,1656.0,1.0,0.0,80.0,0.2101,0.2899,0.6522,0.0091,0.75,1.0,1.0,2.3892,1.1761,1.3617,0.3478,-0.2627,0.5708,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0
20,13.0,25.0,1122694.0,1122712.0,127.0,15.0,19.0,14830.0,111.0,127.0,1373.0,0.0,1.0,40.0,0.0189,0.412,0.6667,0.0087,0.8,0.9474,1.0,2.1038,1.0792,1.2553,0.3333,-0.0877,0.3601,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,1.0,1.0
21,1329.0,1334.0,1682919.0,1682947.0,89.0,16.0,28.0,10584.0,110.0,134.0,1356.0,0.0,1.0,40.0,0.0325,0.3643,0.1786,0.0037,0.3125,1.0,1.0,1.9494,0.699,1.4472,0.8214,-0.0709,0.2532,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,1.0,1.0,0.0
22,49.0,82.0,313092.0,313218.0,2822.0,102.0,127.0,275539.0,79.0,124.0,1360.0,0.0,1.0,200.0,0.0721,0.3213,0.2619,0.0243,0.3235,0.9921,1.0,3.4506,1.5185,2.1004,0.7381,-0.2372,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,1.0
23,209.0,230.0,1346248.0,1346264.0,158.0,45.0,30.0,20312.0,122.0,140.0,1362.0,0.0,1.0,40.0,0.3069,0.5298,0.7619,0.0154,0.4667,0.5333,0.0,2.1987,1.3222,1.2041,-0.2381,0.0044,0.556,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
24,659.0,686.0,4194670.0,4194684.0,169.0,47.0,27.0,20262.0,107.0,135.0,1356.0,1.0,0.0,100.0,0.972,0.5529,0.5185,0.0199,0.5745,0.5185,0.0,2.2279,1.4314,1.1461,-0.4815,-0.0633,0.6236,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0
25,767.0,784.0,45270.0,45288.0,182.0,22.0,18.0,14763.0,72.0,93.0,1630.0,0.0,1.0,140.0,0.9411,0.4052,0.9444,0.0104,0.7727,1.0,1.0,2.2601,1.2305,1.2553,0.0556,-0.3663,0.5063,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,1.0
26,196.0,209.0,157035.0,157044.0,60.0,20.0,14.0,7508.0,117.0,135.0,1364.0,0.0,1.0,40.0,0.2874,0.4872,0.6923,0.0095,0.65,0.6429,0.0,1.7781,1.1139,0.9542,-0.3077,-0.0224,0.2253,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0
27,1644.0,1661.0,1554711.0,1554760.0,468.0,70.0,54.0,41524.0,80.0,101.0,1692.0,1.0,0.0,70.0,0.0366,0.4382,0.3469,0.01,0.2429,0.9074,1.0,2.6702,1.2305,1.6902,0.6531,-0.3068,0.9718,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,0.0
28,1568.0,1584.0,195161.0,195188.0,192.0,44.0,28.0,24070.0,112.0,140.0,1692.0,0.0,1.0,300.0,0.1277,0.5556,0.5926,0.0095,0.3636,0.9643,1.0,2.2833,1.2041,1.4314,0.4074,-0.0206,0.7037,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,0.0
29,776.0,818.0,447943.0,447992.0,1222.0,77.0,54.0,112240.0,36.0,116.0,1654.0,1.0,0.0,80.0,0.9383,0.4062,0.8571,0.0254,0.5454,0.9074,1.0,3.0871,1.6233,1.6902,0.1429,-0.2824,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,1.0
30,69.0,81.0,2001776.0,2001794.0,119.0,20.0,18.0,11516.0,84.0,117.0,1352.0,1.0,0.0,70.0,0.1021,0.4491,0.6667,0.0089,0.6,1.0,1.0,2.0756,1.0792,1.2553,0.3333,-0.244,0.3601,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
31,1338.0,1350.0,1313692.0,1313714.0,126.0,32.0,24.0,16734.0,125.0,143.0,1630.0,1.0,0.0,100.0,0.3436,0.5227,0.5454,0.0074,0.375,0.9167,1.0,2.1004,1.0792,1.3424,0.4545,0.0376,0.4366,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,1.0,1.0
32,691.0,710.0,664879.0,664883.0,55.0,19.0,6.0,7211.0,114.0,150.0,1694.0,1.0,0.0,143.0,0.8158,0.2763,0.2105,0.0112,1.0,0.6667,0.0,1.7404,1.2787,0.6021,-0.7895,0.0243,0.1812,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,1.0
33,526.0,676.0,1470973.0,1471038.0,1939.0,192.0,116.0,239860.0,109.0,247.0,1692.0,1.0,0.0,80.0,0.6217,0.8011,0.4333,0.0887,0.7813,0.5603,0.0,3.2876,2.1761,1.8129,-0.5667,-0.0336,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,1.0,0.0
34,41.0,214.0,1740121.0,1740188.0,6855.0,238.0,142.0,701946.0,38.0,124.0,1358.0,0.0,1.0,40.0,0.0604,0.4086,0.3873,0.1274,0.7269,0.4718,0.0,3.836,2.238,1.8261,-0.6127,-0.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,0.0
35,43.0,218.0,2087881.0,2087946.0,6515.0,222.0,104.0,683149.0,39.0,127.0,1358.0,0.0,1.0,40.0,0.0633,0.4272,0.3714,0.1289,0.7883,0.625,0.0,3.8139,2.243,1.8129,-0.6286,-0.1808,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0
36,542.0,564.0,51943.0,51952.0,132.0,32.0,20.0,14760.0,104.0,119.0,1227.0,0.0,1.0,40.0,0.8835,0.3333,0.4091,0.0179,0.6875,0.45,0.0,2.1206,1.3424,0.9542,-0.5909,-0.1264,0.3329,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0
37,830.0,837.0,837868.0,837888.0,82.0,13.0,20.0,9671.0,106.0,128.0,1392.0,0.0,1.0,220.0,0.7974,0.4143,0.35,0.005,0.5385,1.0,1.0,1.9138,0.8451,1.301,0.65,-0.0786,0.2532,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,0.0,1.0
38,41.0,218.0,2134009.0,2134076.0,6277.0,286.0,147.0,647965.0,40.0,126.0,1358.0,0.0,1.0,40.0,0.0604,0.4707,0.3785,0.1303,0.6189,0.4558,0.0,3.7977,2.248,1.8261,-0.6215,-0.1935,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
39,1056.0,1077.0,4364066.0,4364076.0,106.0,35.0,22.0,10747.0,89.0,116.0,1362.0,1.0,0.0,80.0,0.4185,0.4952,0.4762,0.0154,0.6,0.4545,0.0,2.0253,1.3222,1.0,-0.5238,-0.2079,0.3509,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0
40,61.0,93.0,2310852.0,2310855.0,68.0,32.0,11.0,8808.0,95.0,166.0,1692.0,1.0,0.0,70.0,0.0721,0.2917,0.0938,0.0189,1.0,0.2727,0.0,1.8325,1.5051,0.4771,-0.9063,0.012,0.2018,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,1.0
41,19.0,28.0,2811785.0,2811821.0,192.0,35.0,36.0,18361.0,80.0,118.0,1354.0,1.0,0.0,70.0,0.0281,0.4074,0.25,0.0066,0.2571,1.0,1.0,2.2833,0.9542,1.5563,0.75,-0.2529,0.5362,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,0.0
42,30.0,39.0,274230.0,274244.0,54.0,17.0,15.0,5912.0,97.0,132.0,1354.0,1.0,0.0,70.0,0.0443,0.5714,0.6429,0.0066,0.5294,0.9333,1.0,1.7324,0.9542,1.1461,0.3571,-0.1447,0.2359,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.0,0.0
43,221.0,242.0,3948212.0,3948253.0,519.0,33.0,41.0,48309.0,65.0,124.0,1360.0,1.0,0.0,200.0,0.325,0.3972,0.5122,0.0154,0.6364,1.0,1.0,2.7152,1.3222,1.6128,0.4878,-0.2728,0.9765,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0.0,0.0
44,645.0,651.0,2538079.0,2538108.0,108.0,10.0,30.0,11397.0,84.0,123.0,1687.0,1.0,0.0,80.0,0.7647,0.3793,0.2069,0.0036,0.6,0.9667,1.0,2.0334,0.7782,1.4624,0.7931,-0.1756,0.2984,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0
45,749.0,768.0,337093.0,337112.0,262.0,21.0,19.0,29349.0,88.0,133.0,1360.0,0.0,1.0,40.0,0.8706,0.2742,1.0,0.014,0.9048,1.0,0.5,2.4183,1.2787,1.2787,0.0,-0.1248,0.5967,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0
46,1582.0,1592.0,1612840.0,1612870.0,193.0,25.0,30.0,18218.0,78.0,111.0,1654.0,1.0,0.0,69.0,0.075,0.3567,0.3333,0.006,0.4,1.0,1.0,2.2856,1.0,1.4771,0.6667,-0.2625,0.4963,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,1.0,0.0
47,144.0,175.0,340581.0,340598.0,287.0,44.0,24.0,34599.0,112.0,133.0,1360.0,0.0,1.0,40.0,0.2118,0.4554,0.5484,0.0228,0.7046,0.7083,0.0,2.4579,1.4914,1.2305,-0.4516,-0.0582,0.8173,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,1.0
48,381.0,425.0,2601604.0,2601606.0,82.0,44.0,4.0,10361.0,58.0,188.0,1374.0,0.0,1.0,40.0,0.5546,0.0682,0.0454,0.032,1.0,0.5,0.0,1.9138,1.6435,0.301,-0.9546,-0.0129,0.1934,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,1.0
49,39.0,214.0,1174946.0,1175131.0,13601.0,805.0,503.0,1579135.0,25.0,141.0,1400.0,0.0,1.0,40.0,0.0557,0.5799,0.9459,0.125,0.2174,0.3678,1.0,4.1336,2.243,2.2672,0.054,-0.0929,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
50,108.0,117.0,80480.0,80500.0,105.0,17.0,21.0,16675.0,151.0,172.0,1353.0,0.0,1.0,100.0,0.1596,0.4167,0.45,0.0066,0.5294,0.9524,1.0,2.0212,0.9542,1.301,0.55,0.2407,0.3068,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,0.0,1.0
