x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,y,y_1,y_2,y_3,y_4,y_5,y_6
0,832.0,848.0,712437.0,712446.0,67.0,29.0,12.0,8140.0,102.0,141.0,1692.0,1.0,0.0,143.0,0.9834,0.5347,0.5625,0.0095,0.5517,0.75,0.0,1.8261,1.2041,0.9542,-0.4375,-0.0508,0.2583,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,1.0,0.0,0.0
1,1332.0,1347.0,70219.0,70241.0,221.0,19.0,22.0,24230.0,97.0,124.0,1687.0,1.0,0.0,70.0,0.4031,0.3303,0.6818,0.0089,0.7895,1.0,1.0,2.3444,1.1761,1.3424,0.3182,-0.1435,0.5461,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,1.0
2,213.0,227.0,9496251.0,9496258.0,56.0,16.0,8.0,7105.0,118.0,140.0,1360.0,1.0,0.0,100.0,0.3132,0.4286,0.5,0.0103,0.875,0.875,0.0,1.7482,1.1461,0.8451,-0.5,-0.0088,0.204,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,0.0,0.0
3,251.0,275.0,256288.0,256329.0,430.0,73.0,59.0,49094.0,93.0,127.0,1692.0,0.0,1.0,300.0,0.2967,0.563,0.5854,0.0142,0.3288,0.6949,1.0,2.6335,1.3802,1.6128,0.4146,-0.108,0.9895,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0
4,1228.0,1267.0,4015601.0,4015618.0,271.0,56.0,26.0,32459.0,112.0,134.0,1370.0,0.0,1.0,40.0,0.1504,0.5913,0.4359,0.0285,0.6964,0.6539,0.0,2.433,1.5911,1.2305,-0.5641,-0.0643,0.9172,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,1.0,0.0,1.0
5,1172.0,1214.0,88783.0,88808.0,383.0,91.0,58.0,47204.0,114.0,140.0,1354.0,0.0,1.0,40.0,0.2068,0.6352,0.5952,0.031,0.4615,0.431,0.0,2.5832,1.6233,1.3979,-0.4048,-0.0371,0.9932,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,1.0,0.0,1.0
6,216.0,250.0,763872.0,763947.0,938.0,117.0,94.0,110127.0,102.0,133.0,1356.0,1.0,0.0,70.0,0.3186,0.6322,0.4533,0.0251,0.2906,0.7979,1.0,2.9722,1.5315,1.8751,0.5467,-0.0828,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,1.0
7,1175.0,1187.0,2488529.0,2488541.0,111.0,14.0,12.0,11868.0,93.0,124.0,1352.0,1.0,0.0,100.0,0.2441,0.2292,1.0,0.0089,0.8571,1.0,0.5,2.0453,1.0792,1.0792,0.0,-0.1647,0.2583,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0
8,317.0,335.0,732308.0,732327.0,146.0,36.0,29.0,18123.0,114.0,133.0,1372.0,0.0,1.0,40.0,0.4621,0.5731,0.9474,0.0131,0.5,0.6552,1.0,2.1644,1.2553,1.2787,0.0526,-0.0302,0.5659,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,1.0
9,39.0,193.0,1902883.0,1903031.0,11510.0,699.0,429.0,1330937.0,40.0,141.0,1402.0,0.0,1.0,40.0,0.0556,0.495,0.961,0.1098,0.2203,0.345,0.0,4.0611,2.1875,2.1703,-0.039,-0.0966,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,1.0,1.0
10,41.0,188.0,2194041.0,2194206.0,9927.0,625.0,418.0,1133850.0,39.0,140.0,1402.0,0.0,1.0,40.0,0.0585,0.5907,0.8909,0.1049,0.2352,0.3947,1.0,3.9968,2.1673,2.2175,0.1091,-0.1077,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,1.0,0.0
11,374.0,382.0,303204.0,303209.0,24.0,10.0,5.0,3166.0,124.0,140.0,1364.0,0.0,1.0,130.0,0.5484,0.4,0.625,0.0059,0.8,1.0,0.0,1.3802,0.9031,0.699,-0.375,0.0306,0.1483,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,1.0,1.0
12,357.0,373.0,929482.0,929513.0,213.0,42.0,39.0,20512.0,80.0,118.0,1374.0,0.0,1.0,40.0,0.5196,0.5706,0.5161,0.0116,0.381,0.7949,1.0,2.3284,1.2041,1.4914,0.4839,-0.2476,0.7844,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0
13,1199.0,1207.0,585934.0,585950.0,90.0,13.0,16.0,11422.0,114.0,141.0,1354.0,0.0,1.0,40.0,0.2171,0.2969,0.5,0.0059,0.6154,1.0,1.0,1.9542,0.9031,1.2041,0.5,-0.0085,0.2384,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,0.0,0.0,1.0
14,1705.0,1713.0,389963.0,389978.0,102.0,9.0,15.0,8359.0,70.0,95.0,1715.0,0.0,1.0,50.0,0.0023,0.15,0.5333,0.0047,0.8889,1.0,1.0,2.0086,0.9031,1.1761,0.4667,-0.3598,0.2288,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,1.0,1.0,1.0
15,329.0,336.0,1319063.0,1319076.0,68.0,11.0,13.0,7451.0,97.0,124.0,1360.0,0.0,1.0,130.0,0.4838,0.2528,0.5385,0.0052,0.6364,1.0,1.0,1.8325,0.8451,1.1139,0.4615,-0.144,0.1965,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,0.0,1.0,1.0,1.0
16,1457.0,1466.0,1928741.0,1928773.0,192.0,24.0,32.0,19002.0,82.0,125.0,1688.0,1.0,0.0,70.0,0.263,0.3333,0.2813,0.0053,0.375,1.0,1.0,2.2833,0.9542,1.5051,0.7188,-0.2268,0.4763,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,1.0,0.0,1.0,0.0
17,111.0,120.0,68259.0,68288.0,121.0,27.0,32.0,19974.0,151.0,175.0,1353.0,0.0,1.0,100.0,0.1641,0.5364,0.3103,0.0066,0.3333,0.9063,1.0,2.0828,0.9542,1.4624,0.6897,0.2896,0.4317,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,1.0,1.0
18,1039.0,1048.0,1338444.0,1338453.0,66.0,10.0,9.0,7683.0,101.0,130.0,1362.0,1.0,0.0,120.0,0.4611,0.1852,1.0,0.0066,0.9,1.0,0.5,1.8195,0.9542,0.9542,0.0,-0.0905,0.1862,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,0.0,1.0
19,34.0,139.0,776120.0,776424.0,4315.0,470.0,380.0,479002.0,82.0,148.0,1354.0,1.0,0.0,70.0,0.0502,0.8648,0.3454,0.0776,0.2234,0.8,1.0,3.635,2.0212,2.4829,0.6546,-0.1328,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0
