x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,y,y_1,y_2,y_3,y_4,y_5,y_6
0,1358.0,1372.0,2356396.0,2356435.0,395.0,19.0,39.0,38722.0,75.0,118.0,1373.0,0.0,1.0,40.0,0.0015,0.2766,0.359,0.0102,0.7368,1.0,1.0,2.5966,1.1461,1.5911,0.641,-0.2341,0.8355,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,216.0,250.0,763872.0,763947.0,938.0,117.0,94.0,110127.0,102.0,133.0,1356.0,1.0,0.0,70.0,0.3186,0.6322,0.4533,0.0251,0.2906,0.7979,1.0,2.9722,1.5315,1.8751,0.5467,-0.0828,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,1302.0,1308.0,2369532.0,2369561.0,115.0,18.0,29.0,14260.0,115.0,135.0,1352.0,0.0,1.0,40.0,0.0651,0.3391,0.2069,0.0044,0.3333,1.0,1.0,2.0607,0.7782,1.4624,0.7931,-0.0313,0.2984,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0
3,7.0,19.0,375592.0,375611.0,199.0,12.0,19.0,20323.0,74.0,127.0,1687.0,0.0,1.0,200.0,0.0083,0.1272,0.6316,0.0071,1.0,1.0,1.0,2.2989,1.0792,1.2787,0.3684,-0.2021,0.3787,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,1.0,0.0,1.0
4,15.0,149.0,2278497.0,2278909.0,37334.0,908.0,903.0,3918209.0,19.0,134.0,1387.0,0.0,1.0,40.0,0.0216,0.3238,0.3252,0.0966,0.1476,0.4563,1.0,4.5721,2.1271,2.6149,0.6748,-0.1801,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,0.0,1.0,0.0
5,25.0,34.0,281358.0,281513.0,891.0,36.0,155.0,76438.0,70.0,103.0,1353.0,0.0,1.0,185.0,0.0369,0.3613,0.0581,0.0066,0.25,1.0,1.0,2.9499,0.9542,2.1903,0.9419,-0.3298,0.9993,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,1.0,0.0,0.0,1.0
6,39.0,196.0,590440.0,590503.0,6143.0,198.0,119.0,637317.0,45.0,125.0,1358.0,0.0,1.0,40.0,0.0574,0.3789,0.4013,0.1156,0.7929,0.5294,0.0,3.7884,2.1959,1.7993,-0.5987,-0.1895,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0
7,1159.0,1170.0,32914.0,32926.0,106.0,11.0,12.0,12792.0,100.0,134.0,1353.0,0.0,1.0,185.0,0.2705,0.197,0.9167,0.0081,1.0,1.0,1.0,2.0253,1.0414,1.0792,0.0833,-0.0572,0.2432,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1.0,0.0,0.0,0.0
8,317.0,322.0,166852.0,166856.0,15.0,5.0,4.0,1826.0,110.0,135.0,1694.0,1.0,0.0,143.0,0.3743,0.25,0.8,0.003,1.0,1.0,0.0,1.1761,0.699,0.6021,-0.2,-0.049,0.1322,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,0.0,0.0
9,51.0,172.0,320720.0,320767.0,3671.0,175.0,89.0,379850.0,46.0,124.0,1360.0,0.0,1.0,40.0,0.075,0.3545,0.3884,0.089,0.6914,0.5281,0.0,3.5648,2.0828,1.6721,-0.6116,-0.1916,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0
