,No. of similar Instances,Similar Instances,Similar Instances Shared Label,Accuracy,f1-score,Annotator
628,1,[693],0,1.0,[1.],0
483,1,[418],1,0.0,[0. 0.],0
230,4,"[26, 272, 734, 546]",1,0.5,[0.         0.66666667],0
615,2,"[136, 819]",0,0.5,[0.66666667 0.        ],0
451,2,"[936, 279]",0,0.5,[0.66666667 0.        ],0
407,2,"[302, 406]",0,1.0,[1.],0
985,1,[563],0,1.0,[1.],0
987,2,"[789, 93]",0,0.5,[0.66666667 0.        ],0
558,3,"[705, 751, 893]",0,0.6666666666666666,[0.8 0. ],0
895,4,"[606, 841, 766, 102]",1,0.5,[0.         0.66666667],0
190,1,[711],1,0.0,[0. 0.],0
747,2,"[768, 129]",0,0.5,[0.66666667 0.        ],0
620,3,"[760, 371, 931]",0,1.0,[1.],0
32,1,[45],1,1.0,[1.],0
163,1,[118],1,1.0,[1.],0
227,2,"[95, 225]",1,1.0,[1.],0
129,2,"[176, 130]",1,1.0,[1.],0
417,1,[440],0,1.0,[1.],0
991,1,[271],0,0.0,[0. 0.],0
903,1,[975],1,0.0,[0. 0.],0
595,1,[898],0,0.0,[0. 0.],0
1,1,[21],1,1.0,[1.],0
768,1,[754],0,1.0,[1.],0
170,2,"[929, 221]",1,0.5,[0.         0.66666667],0
375,1,[376],1,0.0,[0. 0.],0
660,1,[669],0,1.0,[1.],0
231,1,[917],1,0.0,[0. 0.],0
376,1,[377],0,1.0,[1.],0
839,1,[203],1,1.0,[1.],0
377,1,[146],0,0.0,[0. 0.],0
898,1,[75],1,1.0,[1.],0
146,1,[360],1,0.0,[0. 0.],0
460,2,"[1012, 687]",1,0.0,[0. 0.],0
687,1,[461],1,0.0,[0. 0.],0
864,1,[840],1,1.0,[1.],0
766,1,[729],0,1.0,[1.],0
271,1,[997],1,0.0,[0. 0.],0
752,1,[859],0,0.0,[0. 0.],0
77,1,[261],1,1.0,[1.],0
853,1,[87],1,1.0,[1.],1
689,1,[326],0,1.0,[1.],1
933,1,[771],0,1.0,[1.],1
378,3,"[460, 839, 263]",0,0.3333333333333333,[0.5 0. ],1
153,2,"[206, 1046]",1,0.5,[0.         0.66666667],1
170,1,[68],1,1.0,[1.],1
1027,1,[596],0,1.0,[1.],1
14,1,[182],1,1.0,[1.],1
10,1,[794],1,0.0,[0. 0.],1
155,1,[905],1,1.0,[1.],1
489,1,[907],0,0.0,[0. 0.],1
77,1,[798],1,0.0,[0. 0.],4
740,1,[1031],0,1.0,[1.],4
87,1,[352],1,0.0,[0. 0.],2
283,1,[800],1,0.0,[0. 0.],2
