ionosphere-simulated-x
Budget : 0.2
Similarity Threshold : 0.9
Weight Threshold : 0.7


Number of classes : 2


MAPAL RESULTS

     index  train-micro-misclf-rate  test-micro-misclf-rate  train-macro-misclf-rate  test-macro-misclf-rate  n-labeled-samples  n-true-labels-0  n-false-labels-0  n-true-labels-1  n-false-labels-1  n-true-labels-2  n-false-labels-2  n-true-labels-3  n-false-labels-3  n-true-labels  n-false-labels     times
0        0                 0.509524                0.496454                 0.525365                0.526596                  0                0                 0                0                 0                0                 0                0                 0              0               0  0.000000
1        1                 0.376190                0.333333                 0.500000                0.500000                  1                0                 0                0                 0                1                 0                0                 0              1               0  0.025205
2        2                 0.376190                0.333333                 0.500000                0.500000                  2                0                 0                1                 0                1                 0                0                 0              2               0  0.021192
3        3                 0.452381                0.312057                 0.553532                0.441489                  3                0                 1                1                 0                1                 0                0                 0              2               1  0.020343
4        4                 0.452381                0.319149                 0.553532                0.452128                  3                0                 1                1                 0                1                 0                1                 0              3               1  0.021665
5        5                 0.461905                0.361702                 0.566190                0.515957                  4                0                 1                1                 0                1                 1                1                 0              3               2  0.021867
6        6                 0.447619                0.347518                 0.554740                0.505319                  5                0                 1                2                 0                1                 1                1                 0              4               2  0.020943
7        7                 0.485714                0.382979                 0.577737                0.521277                  6                0                 1                2                 0                1                 2                1                 0              4               3  0.020779
8        8                 0.485714                0.382979                 0.577737                0.521277                  7                0                 1                2                 0                1                 2                2                 0              5               3  0.021277
9        9                 0.466667                0.382979                 0.564982                0.526596                  8                0                 1                2                 0                1                 2                3                 0              6               3  0.020749
10      10                 0.414286                0.368794                 0.522997                0.515957                  8                0                 1                3                 0                1                 2                3                 0              7               3  0.021139
11      11                 0.457143                0.382979                 0.557349                0.526596                  9                0                 1                3                 0                1                 2                3                 1              7               4  0.023629
12      12                 0.447619                0.368794                 0.552227                0.521277                 10                0                 1                3                 0                1                 2                4                 1              8               4  0.022040
13      13                 0.419048                0.347518                 0.534351                0.510638                 11                1                 1                3                 0                1                 2                4                 1              9               4  0.021254
14      14                 0.338095                0.276596                 0.426756                0.404255                 12                1                 1                3                 0                1                 2                5                 1             10               4  0.020987
15      15                 0.347619                0.283688                 0.439414                0.414894                 13                1                 2                3                 0                1                 2                5                 1             10               5  0.021015
16      16                 0.447619                0.375887                 0.552227                0.531915                 13                1                 2                3                 1                1                 2                5                 1             10               6  0.021185
17      17                 0.342857                0.290780                 0.428061                0.414894                 13                1                 2                3                 1                2                 2                5                 1             11               6  0.020912
18      18                 0.323810                0.276596                 0.412794                0.404255                 13                1                 2                3                 1                3                 2                5                 1             12               6  0.020428
19      19                 0.300000                0.276596                 0.393710                0.404255                 14                1                 2                3                 1                4                 2                5                 1             13               6  0.020514
20      20                 0.300000                0.276596                 0.393710                0.404255                 14                1                 2                4                 1                4                 2                5                 1             14               6  0.020704
21      21                 0.295238                0.269504                 0.382356                0.393617                 15                1                 2                4                 1                4                 3                5                 1             14               7  0.020976
22      22                 0.309524                0.276596                 0.401343                0.404255                 15                2                 2                4                 1                4                 3                5                 1             15               7  0.020156
23      23                 0.300000                0.276596                 0.393710                0.404255                 15                3                 2                4                 1                4                 3                5                 1             16               7  0.020167
24      24                 0.304762                0.276596                 0.400039                0.404255                 16                3                 2                5                 1                4                 3                5                 1             17               7  0.021887
25      25                 0.295238                0.262411                 0.392405                0.393617                 17                3                 2                5                 1                4                 3                6                 1             18               7  0.020391
26      26                 0.300000                0.262411                 0.398734                0.393617                 17                4                 2                5                 1                4                 3                6                 1             19               7  0.019767
27      27                 0.276190                0.262411                 0.367089                0.393617                 18                4                 2                5                 1                5                 3                6                 1             20               7  0.020169
