,No. of similar Instances,Similar Instances,Similar Instances Shared Label,Accuracy,f1-score,Annotator
233,3,"[137, 323, 267]",1,1.0,[1.],0
84,4,"[50, 94, 285, 343]",1,1.0,[1.],0
181,2,"[183, 26]",1,1.0,[1.],0
341,4,"[290, 273, 151, 195]",1,1.0,[1.],0
273,2,"[256, 276]",1,1.0,[1.],0
144,3,"[116, 30, 269]",1,0.6666666666666666,[0.  0.8],0
30,2,"[103, 32]",1,1.0,[1.],0
25,1,[109],0,0.0,[0. 0.],0
253,1,[338],1,1.0,[1.],2
203,1,[177],1,1.0,[1.],2
160,1,[156],0,1.0,[1.],3
156,1,[152],1,0.0,[0. 0.],3
276,1,[237],1,1.0,[1.],3
155,4,"[304, 241, 259, 349]",1,1.0,[1.],3
241,2,"[243, 101]",0,0.0,[0. 0.],3
321,1,[303],1,1.0,[1.],3
349,1,[86],0,0.0,[0. 0.],3
303,1,[129],1,1.0,[1.],3
129,1,[141],1,1.0,[1.],3
