iris-simulated-x
Budget : 0.4
Similarity Threshold : 0.9
Weight Threshold : 0.7


Number of classes : 3


MAPAL RESULTS

     index  train-micro-misclf-rate  test-micro-misclf-rate  train-macro-misclf-rate  test-macro-misclf-rate  n-labeled-samples  n-true-labels-0  n-false-labels-0  n-true-labels-1  n-false-labels-1  n-true-labels-2  n-false-labels-2  n-true-labels-3  n-false-labels-3  n-true-labels-4  n-false-labels-4  n-true-labels  n-false-labels     times
0        0                 0.677778                0.633333                 0.643406                0.665205                  0                0                 0                0                 0                0                 0                0                 0                0                 0              0               0  0.000000
1        1                 0.677778                0.650000                 0.666667                0.666667                  1                0                 0                0                 0                0                 0                0                 1                0                 0              0               1  0.013424
2        2                 0.677778                0.650000                 0.666667                0.666667                  2                1                 0                0                 0                0                 0                0                 1                0                 0              1               1  0.012507
3        3                 0.677778                0.650000                 0.666667                0.666667                  3                1                 0                0                 1                0                 0                0                 1                0                 0              1               2  0.012357
4        4                 0.677778                0.650000                 0.666667                0.666667                  4                1                 0                0                 1                0                 0                0                 1                1                 0              2               2  0.012656
5        5                 0.677778                0.650000                 0.666667                0.666667                  5                1                 0                0                 1                0                 1                0                 1                1                 0              2               3  0.012578
6        6                 0.344444                0.333333                 0.344086                0.333333                  5                1                 0                0                 1                0                 1                0                 1                2                 0              3               3  0.013870
7        7                 0.677778                0.650000                 0.666667                0.666667                  5                1                 1                0                 1                0                 1                0                 1                2                 0              3               4  0.013571
8        8                 0.677778                0.650000                 0.666667                0.666667                  6                1                 1                1                 1                0                 1                0                 1                2                 0              4               4  0.013628
9        9                 0.677778                0.650000                 0.666667                0.666667                  7                1                 1                2                 1                0                 1                0                 1                2                 0              5               4  0.012929
10      10                 0.633333                0.633333                 0.623656                0.649123                  8                1                 1                3                 1                0                 1                0                 1                2                 0              6               4  0.013640
11      11                 0.644444                0.650000                 0.634409                0.666667                  9                1                 1                3                 2                0                 1                0                 1                2                 0              6               5  0.014086
12      12                 0.677778                0.650000                 0.666667                0.666667                 10                1                 1                3                 2                0                 1                0                 2                2                 0              6               6  0.013591
13      13                 0.677778                0.650000                 0.666667                0.666667                 10                1                 2                3                 2                0                 1                0                 2                2                 0              6               7  0.013339
14      14                 0.677778                0.650000                 0.666667                0.666667                 11                1                 2                3                 2                0                 1                0                 3                2                 0              6               8  0.013261
15      15                 0.677778                0.650000                 0.666667                0.666667                 11                1                 3                3                 2                0                 1                0                 3                2                 0              6               9  0.013496
16      16                 0.677778                0.650000                 0.666667                0.666667                 12                1                 3                3                 2                0                 2                0                 3                2                 0              6              10  0.013409
17      17                 0.711111                0.633333                 0.701149                0.650000                 13                1                 3                3                 3                0                 2                0                 3                2                 0              6              11  0.013250
18      18                 0.700000                0.633333                 0.689655                0.650000                 13                1                 3                3                 3                0                 2                1                 3                2                 0              7              11  0.013850
19      19                 0.677778                0.566667                 0.667433                0.583333                 14                1                 3                3                 3                0                 2                2                 3                2                 0              8              11  0.014227
20      20                 0.677778                0.583333                 0.667433                0.600000                 15                1                 3                3                 3                0                 2                2                 3                2                 1              8              12  0.013744
21      21                 0.677778                0.583333                 0.667433                0.600000                 16                1                 3                3                 3                0                 3                2                 3                2                 1              8              13  0.013369
22      22                 0.655556                0.583333                 0.644444                0.600000                 16                1                 3                3                 3                0                 3                2                 3                3                 1              9              13  0.013261
