,No. of similar Instances,Similar Instances,Similar Instances Shared Label,Accuracy,f1-score,Annotator
136,1,[109],2,1.0,1.0,1
121,1,[106],2,1.0,1.0,1
52,2,"[63, 89]",1,1.0,1.0,1
137,1,[83],2,0.0,0.0,1
143,1,[142],2,1.0,1.0,1
72,1,[68],0,1.0,1.0,1
142,1,[101],2,1.0,1.0,1
82,2,"[79, 50]",1,1.0,1.0,4
109,1,[124],2,1.0,1.0,3
111,7,"[144, 110, 105, 130, 129, 134, 72]",2,0.5714285714285714,0.24242424242424243,2
88,2,"[70, 61]",1,1.0,1.0,2
147,1,[145],0,0.0,0.0,0
129,1,[133],2,1.0,1.0,0
86,1,[97],1,0.0,0.0,0
