,No. of similar Instances,Similar Instances,Similar Instances Shared Label,Accuracy,f1-score,Annotator
195,2,"[424, 444]",1,1.0,[1.],0
424,2,"[275, 454]",1,0.5,[0.         0.66666667],0
275,9,"[2, 430, 426, 489, 313, 434, 476, 196, 360]",0,0.3333333333333333,[0.5 0. ],0
2,1,[428],1,1.0,[1.],0
248,11,"[463, 479, 352, 478, 494, 152, 447, 365, 148, 36, 371]",0,0.5454545454545454,[0.70588235 0.        ],0
428,2,"[432, 462]",1,1.0,[1.],0
457,5,"[353, 458, 357, 315, 481]",1,0.4,[0.         0.57142857],0
432,3,"[169, 3, 456]",1,0.6666666666666666,[0.  0.8],0
37,1,[279],0,1.0,[1.],0
357,5,"[199, 354, 472, 48, 26]",0,0.8,[0.88888889 0.        ],0
169,3,"[487, 468, 417]",0,0.3333333333333333,[0.5 0. ],0
36,2,"[431, 155]",0,0.5,[0.66666667 0.        ],0
241,1,[184],0,1.0,[1.],0
178,1,[455],0,0.0,[0. 0.],0
48,2,"[111, 441]",0,0.5,[0.66666667 0.        ],0
481,1,[433],1,1.0,[1.],0
155,1,[440],1,1.0,[1.],0
440,1,[200],1,0.0,[0. 0.],0
200,2,"[500, 24]",0,0.5,[0.66666667 0.        ],0
458,1,[367],1,0.0,[0. 0.],0
291,2,"[405, 211]",0,1.0,[1.],0
253,1,[156],0,1.0,[1.],2
163,1,[281],0,1.0,[1.],2
