,No. of similar Instances,Similar Instances,Similar Instances Shared Label,Accuracy,f1-score,Annotator
61,7,"[69, 178, 115, 84, 49, 9, 32]",0,0.2857142857142857,[0.44444444 0.        ],1
54,2,"[80, 46]",1,0.5,[0.         0.66666667],1
100,6,"[155, 180, 134, 111, 104, 98]",1,1.0,[1.],1
260,2,"[241, 249]",1,0.5,[0.         0.66666667],1
47,4,"[37, 68, 53, 13]",1,0.75,[0.         0.85714286],1
166,2,"[67, 22]",1,0.5,[0.         0.66666667],1
255,1,[267],0,1.0,[1.],1
76,1,[72],1,0.0,[0. 0.],1
25,1,[86],1,1.0,[1.],1
194,1,[192],1,1.0,[1.],1
258,1,[262],1,0.0,[0. 0.],1
145,1,[156],0,0.0,[0. 0.],1
84,1,[10],1,0.0,[0. 0.],1
283,1,[285],0,0.0,[0. 0.],4
237,1,[258],1,1.0,[1.],3
275,2,"[199, 222]",1,1.0,[1.],3
251,1,[250],1,1.0,[1.],0
230,1,[221],1,1.0,[1.],0
