,No. of similar Instances,Similar Instances,Similar Instances Shared Label,Accuracy,f1-score,Annotator
64,4,"[120, 91, 546, 149]",1,0.0,0.0,0
116,2,"[234, 184]",0,1.0,1.0,0
356,3,"[72, 14, 84]",0,0.6666666666666666,0.4,0
504,2,"[513, 224]",5,1.0,1.0,0
500,1,[362],0,1.0,1.0,0
74,1,[215],1,1.0,1.0,0
390,2,"[417, 516]",4,0.0,0.0,0
297,1,[197],3,1.0,1.0,0
410,4,"[276, 309, 143, 515]",4,0.5,0.3333333333333333,0
96,1,[167],3,1.0,1.0,0
182,1,[550],1,1.0,1.0,0
37,1,[458],5,0.0,0.0,0
202,4,"[391, 543, 200, 21]",2,0.0,0.0,0
200,1,[145],0,1.0,1.0,0
169,1,[25],6,1.0,1.0,0
458,1,[536],1,1.0,1.0,0
8,1,[280],1,1.0,1.0,0
418,3,"[50, 466, 137]",6,0.0,0.0,3
252,1,[77],3,1.0,1.0,3
494,2,"[183, 502]",2,1.0,1.0,3
533,3,"[500, 292, 158]",0,0.3333333333333333,0.25,3
540,1,[509],0,1.0,1.0,3
369,2,"[471, 216]",4,1.0,1.0,3
118,2,"[272, 153]",4,1.0,1.0,3
158,1,[271],6,1.0,1.0,3
482,1,[163],5,0.0,0.0,1
251,1,[544],5,1.0,1.0,1
30,1,[83],3,0.0,0.0,1
190,1,[379],4,1.0,1.0,2
371,1,[325],0,1.0,1.0,2
270,1,[261],2,0.0,0.0,2
211,1,[104],1,1.0,1.0,2
182,1,[508],1,0.0,0.0,2
