,No. of similar Instances,Similar Instances,Similar Instances Shared Label,Accuracy,f1-score,Annotator
9,1,[144],1,1.0,[1.],0
24,4,"[124, 191, 26, 121]",1,0.75,[0.         0.85714286],0
71,2,"[13, 192]",0,0.5,[0.66666667 0.        ],0
144,2,"[177, 142]",1,1.0,[1.],0
184,1,[149],1,1.0,[1.],0
65,1,[109],1,1.0,[1.],0
32,3,"[64, 63, 38]",0,0.6666666666666666,[0.8 0. ],0
30,2,"[43, 111]",0,0.5,[0.66666667 0.        ],0
60,1,[23],0,0.0,[0. 0.],0
41,1,[105],1,1.0,[1.],0
43,1,[166],0,1.0,[1.],0
111,1,[45],1,0.0,[0. 0.],0
45,1,[46],1,0.0,[0. 0.],0
147,1,[100],1,1.0,[1.],2
37,2,"[129, 104]",1,1.0,[1.],2
125,1,[15],1,1.0,[1.],2
192,1,[140],0,0.0,[0. 0.],2
52,1,[50],0,1.0,[1.],2
109,1,[114],1,1.0,[1.],1
