MAPAL RESULTS

parkinsons-simulated-x
Budget : 0.4

Number of classes : 2


     index  train-micro-misclf-rate  test-micro-misclf-rate  train-macro-misclf-rate  test-macro-misclf-rate  n-labeled-samples  n-true-labels-0  n-false-labels-0  n-true-labels-1  n-false-labels-1  n-true-labels-2  n-false-labels-2  n-true-labels-3  n-false-labels-3  n-true-labels-4  n-false-labels-4  n-true-labels  n-false-labels     times
0        0                 0.435897                0.474359                 0.480769                0.525974                  0                0                 0                0                 0                0                 0                0                 0                0                 0              0               0  0.000000
1        1                 0.777778                0.717949                 0.500000                0.500000                  1                0                 1                0                 0                0                 0                0                 0                0                 0              0               1  0.012890
2        2                 0.290598                0.320513                 0.241758                0.278409                  2                0                 1                0                 0                0                 0                1                 0                0                 0              1               1  0.012308
3        3                 0.393162                0.423077                 0.513736                0.460227                  3                0                 1                0                 0                0                 1                1                 0                0                 0              1               2  0.012887
4        4                 0.273504                0.294872                 0.532967                0.508929                  4                0                 1                0                 0                0                 1                1                 0                0                 1              1               3  0.013629
5        5                 0.222222                0.282051                 0.500000                0.500000                  4                0                 1                1                 0                0                 1                1                 0                0                 1              2               3  0.013210
6        6                 0.222222                0.282051                 0.500000                0.500000                  5                0                 1                1                 0                0                 1                1                 0                1                 1              3               3  0.014492
7        7                 0.324786                0.346154                 0.565934                0.530844                  5                0                 1                1                 0                0                 1                1                 1                1                 1              3               4  0.013584
8        8                 0.401709                0.384615                 0.519231                0.447240                  5                0                 1                1                 0                1                 1                1                 1                1                 1              4               4  0.013317
9        9                 0.401709                0.423077                 0.519231                0.446429                  5                0                 1                1                 0                1                 1                1                 2                1                 1              4               5  0.014077
10      10                 0.452991                0.487179                 0.552198                0.491071                  6                0                 1                1                 0                1                 1                1                 3                1                 1              4               6  0.014251
11      11                 0.495726                0.551282                 0.538462                0.508117                  7                0                 2                1                 0                1                 1                1                 3                1                 1              4               7  0.014133
12      12                 0.470085                0.538462                 0.521978                0.499188                  8                0                 2                1                 0                2                 1                1                 3                1                 1              5               7  0.014464
13      13                 0.435897                0.487179                 0.554945                0.532468                  8                0                 2                1                 0                2                 1                2                 3                1                 1              6               7  0.014178
14      14                 0.418803                0.371795                 0.543956                0.452110                  9                0                 2                1                 0                3                 1                2                 3                1                 1              7               7  0.014051
15      15                 0.393162                0.333333                 0.527473                0.452922                 10                0                 2                1                 0                3                 1                3                 3                1                 1              8               7  0.013549
16      16                 0.341880                0.307692                 0.494505                0.435065                 11                0                 2                1                 0                3                 1                4                 3                1                 1              9               7  0.013741
17      17                 0.316239                0.294872                 0.532967                0.495130                 11                0                 2                1                 0                3                 1                4                 4                1                 1              9               8  0.013775
18      18                 0.247863                0.282051                 0.516484                0.500000                 12                0                 2                1                 0                3                 1                5                 4                1                 1             10               8  0.013732
19      19                 0.239316                0.282051                 0.510989                0.500000                 13                0                 2                1                 0                3                 1                5                 4                2                 1             11               8  0.014243
20      20                 0.299145                0.294872                 0.549451                0.508929                 14                0                 2                1                 0                3                 1                5                 5                2                 1             11               9  0.014073
21      21                 0.307692                0.269231                 0.500000                0.435877                 15                0                 2                1                 0                3                 1                6                 5                2                 1             12               9  0.015022
22      22                 0.307692                0.282051                 0.513736                0.458604                 16                0                 2                1                 0                3                 1                7                 5                2                 1             13               9  0.014376
23      23                 0.290598                0.282051                 0.516484                0.486201                 17                0                 2                1                 0                3                 1                7                 5                3                 1             14               9  0.014261
24      24                 0.367521                0.307692                 0.565934                0.504058                 18                0                 2                1                 0                3                 1                7                 5                3                 2             14              10  0.014040
25      25                 0.341880                0.294872                 0.508242                0.467532                 19                0                 2                1                 0                3                 1                8                 5                3                 2             15              10  0.014119
26      26                 0.324786                0.294872                 0.497253                0.481331                 20                0                 2                1                 0                3                 1                9                 5                3                 2             16              10  0.014601
27      27                 0.333333                0.269231                 0.489011                0.435877                 20                0                 2                1                 0                3                 1                9                 5                4                 2             17              10  0.014242
28      28                 0.299145                0.256410                 0.398352                0.413149                 21                0                 2                1                 0                3                 1                9                 5                5                 2             18              10  0.013565
29      29                 0.299145                0.256410                 0.398352                0.413149                 21                0                 2                1                 0                4                 1                9                 5                5                 2             19              10  0.014073
