reports-compendium
Budget : 0.2
Similarity Threshold : 0.9
Weight Threshold : 0.7


Number of classes : 4


MAPAL RESULTS

     index  train-micro-misclf-rate  test-micro-misclf-rate  train-macro-misclf-rate  test-macro-misclf-rate  n-labeled-samples  n-true-labels-0  n-false-labels-0  n-true-labels-1  n-false-labels-1  n-true-labels-2  n-false-labels-2  n-true-labels-3  n-false-labels-3  n-true-labels-4  n-false-labels-4  n-true-labels  n-false-labels     times
0        0                 0.750433                0.714286                 0.791186                0.721269                  0                0                 0                0                 0                0                 0                0                 0                0                 0              0               0  0.000000
1        1                 0.774697                0.766234                 0.760885                0.737100                  1                0                 0                0                 0                0                 0                1                 0                0                 0              1               0  0.161828
2        2                 0.778163                0.774026                 0.761165                0.747847                  2                0                 0                0                 0                0                 1                1                 0                0                 0              1               1  0.139229
3        3                 0.715771                0.693506                 0.726157                0.700107                  3                0                 0                0                 1                0                 1                1                 0                0                 0              1               2  0.117911
4        4                 0.743501                0.714286                 0.595885                0.565707                  3                0                 0                0                 1                0                 1                1                 0                1                 0              2               2  0.118598
5        5                 0.740035                0.706494                 0.600202                0.566036                  3                1                 0                0                 1                0                 1                1                 0                1                 0              3               2  0.118633
6        6                 0.738302                0.709091                 0.557891                0.535203                  4                1                 0                0                 1                0                 1                1                 0                2                 0              4               2  0.137450
7        7                 0.731369                0.714286                 0.570149                0.566866                  5                1                 0                0                 1                0                 1                2                 0                2                 0              5               2  0.117459
8        8                 0.727903                0.701299                 0.552879                0.540893                  6                1                 0                0                 1                0                 1                3                 0                2                 0              6               2  0.114076
9        9                 0.724437                0.690909                 0.543130                0.521024                  7                1                 0                0                 1                1                 1                3                 0                2                 0              7               2  0.114121
10      10                 0.710572                0.690909                 0.543825                0.529809                  7                2                 0                0                 1                1                 1                3                 0                2                 0              8               2  0.114356
11      11                 0.655113                0.641558                 0.510928                0.505644                  8                2                 0                0                 1                2                 1                3                 0                2                 0              9               2  0.121833
12      12                 0.660312                0.636364                 0.518748                0.498455                  9                3                 0                0                 1                2                 1                3                 0                2                 0             10               2  0.125733
13      13                 0.655113                0.649351                 0.512794                0.518823                 10                3                 0                0                 1                3                 1                3                 0                2                 0             11               2  0.127187
