,No. of similar Instances,Similar Instances,Similar Instances Shared Label,Accuracy,f1-score,Annotator
21,1,[138],0,0.0,0.0,5
49,2,"[137, 0]",0,0.5,0.3333333333333333,5
133,1,[139],1,1.0,1.0,5
139,1,[74],1,1.0,1.0,5
74,1,[76],1,1.0,1.0,5
36,1,[37],0,1.0,1.0,5
161,1,[163],0,0.0,0.0,4
165,1,[179],2,1.0,1.0,4
10,2,"[43, 100]",2,0.0,0.0,4
75,1,[80],1,1.0,1.0,4
61,2,"[199, 60]",1,0.0,0.0,0
195,2,"[197, 142]",2,1.0,1.0,0
65,3,"[7, 2, 3]",0,1.0,1.0,3
148,2,"[26, 12]",2,0.0,0.0,2
15,3,"[129, 132, 6]",0,0.3333333333333333,0.25,2
21,1,[20],0,1.0,1.0,2
20,1,[13],0,1.0,1.0,2
