,No. of similar Instances,Similar Instances,Similar Instances Shared Label,Accuracy,f1-score,Annotator
2265,2,"[874, 1944]",0,0.0,0.0,3
998,2,"[207, 944]",3,1.0,1.0,3
355,4,"[1949, 1857, 2044, 2077]",6,0.0,0.0,3
1979,2,"[1634, 245]",6,0.5,0.3333333333333333,3
1100,2,"[2137, 723]",0,0.0,0.0,3
1654,3,"[1207, 219, 1404]",2,0.3333333333333333,0.25,3
720,3,"[722, 1680, 1180]",1,0.0,0.0,3
261,1,[1638],2,1.0,1.0,3
1324,2,"[31, 904]",2,0.0,0.0,3
31,2,"[2155, 554]",6,1.0,1.0,3
2299,1,[1679],2,0.0,0.0,3
237,2,"[617, 1808]",2,1.0,1.0,3
2155,1,[1830],6,1.0,1.0,3
554,1,[1258],6,1.0,1.0,3
1390,1,[1361],2,1.0,1.0,3
815,2,"[170, 2122]",5,0.0,0.0,3
1931,1,[1817],6,1.0,1.0,3
1230,1,[1134],6,0.0,0.0,3
1481,2,"[1066, 2157]",0,0.0,0.0,3
923,1,[2176],3,0.0,0.0,3
830,2,"[1686, 1028]",4,0.0,0.0,3
1765,1,[1960],6,0.0,0.0,3
279,1,[2285],1,1.0,1.0,3
2285,2,"[1668, 1019]",1,1.0,1.0,3
1596,2,"[319, 448]",5,0.0,0.0,3
1063,1,[2271],6,0.0,0.0,3
112,1,[1532],5,0.0,0.0,3
1211,1,[1093],6,0.0,0.0,3
284,2,"[698, 946]",5,1.0,1.0,2
2222,1,[423],2,0.0,0.0,2
1803,1,[1931],4,0.0,0.0,2
1371,1,[1996],6,0.0,0.0,2
871,1,[717],1,0.0,0.0,2
992,1,[532],6,1.0,1.0,2
811,1,[1861],6,0.0,0.0,2
232,1,[55],1,0.0,0.0,2
717,1,[2154],6,1.0,1.0,2
690,1,[1784],4,1.0,1.0,0
411,1,[466],2,1.0,1.0,0
723,2,"[838, 2231]",2,1.0,1.0,0
499,4,"[1929, 1407, 211, 323]",4,0.0,0.0,0
2289,1,[196],2,1.0,1.0,0
2088,1,[1795],3,0.0,0.0,0
74,1,[2276],2,0.0,0.0,0
216,1,[457],6,1.0,1.0,0
214,1,[1594],1,0.0,0.0,0
1092,1,[1150],1,1.0,1.0,0
603,4,"[1786, 365, 776, 2141]",6,0.0,0.0,0
1594,1,[417],2,1.0,1.0,0
2202,1,[1886],2,0.0,0.0,0
2077,3,"[160, 10, 1565]",1,1.0,1.0,0
832,1,[843],5,1.0,1.0,0
1150,4,"[1411, 1300, 1488, 2175]",3,0.0,0.0,0
1411,1,[1277],1,1.0,1.0,0
212,1,[1389],5,0.0,0.0,0
1389,2,"[1770, 78]",4,0.0,0.0,0
170,1,[867],5,0.0,0.0,0
517,1,[794],1,0.0,0.0,0
1255,1,[1074],6,1.0,1.0,0
2248,1,[294],2,0.0,0.0,0
2173,1,[1519],0,0.0,0.0,0
1385,1,[1485],6,0.0,0.0,0
1028,2,"[487, 1597]",1,1.0,1.0,0
487,1,[1443],4,0.0,0.0,0
1058,1,[1941],6,0.0,0.0,0
1001,1,[1885],1,1.0,1.0,0
2242,1,[1755],5,0.0,0.0,0
294,1,[2218],6,0.0,0.0,0
1939,1,[1635],2,1.0,1.0,1
1646,1,[1712],3,1.0,1.0,1
1372,1,[2160],1,1.0,1.0,1
1719,3,"[2159, 430, 295]",4,0.0,0.0,1
1268,1,[461],6,1.0,1.0,1
1712,1,[503],3,1.0,1.0,1
1050,1,[1908],3,1.0,1.0,1
2253,1,[2106],1,0.0,0.0,1
1764,2,"[2199, 1288]",1,1.0,1.0,1
