,No. of similar Instances,Similar Instances,Similar Instances Shared Label,Accuracy,f1-score,Annotator
227,1,[22],1,0.0,0.0,1
299,1,[3],1,0.0,0.0,1
268,2,"[55, 281]",1,0.5,0.3333333333333333,1
33,1,[35],0,1.0,1.0,1
210,1,[53],0,1.0,1.0,1
161,3,"[126, 187, 147]",2,1.0,1.0,4
66,3,"[193, 153, 109]",2,1.0,1.0,4
262,1,[40],1,0.0,0.0,4
6,1,[280],0,0.0,0.0,4
31,1,[231],0,0.0,0.0,4
130,2,"[174, 169]",2,1.0,1.0,3
276,1,[247],1,1.0,1.0,3
54,1,[47],0,1.0,1.0,2
26,1,[37],0,1.0,1.0,2
296,1,[48],0,1.0,1.0,2
57,1,[246],0,0.0,0.0,0
246,1,[279],1,1.0,1.0,0
170,1,[64],2,1.0,1.0,0
279,1,[271],1,1.0,1.0,0
140,1,[184],2,1.0,1.0,0
305,2,"[10, 240]",1,0.5,0.3333333333333333,0
23,1,[7],0,1.0,1.0,0
