index,train-micro-misclf-rate,test-micro-misclf-rate,train-macro-misclf-rate,test-macro-misclf-rate,n-labeled-samples,n-true-labels-0,n-false-labels-0,n-true-labels-1,n-false-labels-1,n-true-labels-2,n-false-labels-2,n-true-labels-3,n-false-labels-3,n-true-labels-4,n-false-labels-4,n-true-labels,n-false-labels,times
0,0.8671875,0.8604651162790697,0.8354325181609287,0.7575660699062233,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,0.6328125,0.7325581395348837,0.8333333333333334,0.8333333333333334,1,0,0,0,0,0,0,1,0,0,0,1,0,0.03977799415588379
2,0.6328125,0.7325581395348837,0.8333333333333334,0.8333333333333334,2,0,0,0,0,0,0,1,0,1,0,2,0,0.03371620178222656
3,0.6328125,0.7325581395348837,0.8333333333333334,0.8333333333333334,3,0,0,0,0,1,0,1,0,1,0,3,0,0.03199267387390137
4,0.609375,0.7325581395348837,0.7777777777777777,0.8333333333333334,4,0,1,0,0,1,0,1,0,1,0,3,1,0.031121015548706055
5,0.5625,0.6744186046511628,0.7276688453159043,0.763888888888889,5,0,1,1,0,1,0,1,0,1,0,4,1,0.031138181686401367
6,0.4765625,0.5581395348837209,0.7126964260881659,0.7172136970730322,6,0,1,1,0,1,0,1,0,2,0,5,1,0.03170180320739746
7,0.7109375,0.7209302325581395,0.7139910337657521,0.7019323671497585,6,0,1,1,0,1,1,1,0,2,0,5,2,0.03356289863586426
8,0.7421875,0.7790697674418605,0.7849974505168498,0.7463768115942028,6,0,1,1,1,1,1,1,0,2,0,5,3,0.03424501419067383
9,0.5625,0.6627906976744186,0.7276688453159043,0.7222222222222223,6,1,1,1,1,1,1,1,0,2,0,6,3,0.03360700607299805
10,0.6171875,0.7441860465116279,0.7119646913138777,0.8073671497584541,7,1,1,1,1,1,1,2,0,2,0,7,3,0.032301902770996094
11,0.640625,0.7558139534883721,0.738898159736708,0.8146135265700484,7,1,2,1,1,1,1,2,0,2,0,7,4,0.03202199935913086
12,0.640625,0.7441860465116279,0.7568720159458583,0.8007246376811595,7,1,2,1,1,1,1,2,0,2,1,7,5,0.03234696388244629
13,0.5625,0.6744186046511628,0.7276688453159043,0.763888888888889,8,1,2,2,1,1,1,2,0,2,1,8,5,0.032631874084472656
14,0.5625,0.6744186046511628,0.7276688453159043,0.763888888888889,8,2,2,2,1,1,1,2,0,2,1,9,5,0.03182673454284668
15,0.6015625,0.7209302325581395,0.7268808232512863,0.7445652173913043,9,2,3,2,1,1,1,2,0,2,1,9,6,0.031055927276611328
16,0.5859375,0.6976744186046512,0.6898437862142494,0.7783816425120773,10,2,3,2,1,2,1,2,0,2,1,10,6,0.031697988510131836
17,0.546875,0.6744186046511628,0.6700025163729796,0.7685777209434498,11,2,3,3,1,2,1,2,0,2,1,11,6,0.031286001205444336
18,0.515625,0.6395348837209303,0.6307868300984697,0.726911054276783,12,2,3,3,1,2,1,3,0,2,1,12,6,0.03243589401245117
19,0.484375,0.6162790697674418,0.5915711438239598,0.6991332764990054,12,2,3,4,1,2,1,3,0,2,1,13,6,0.03131890296936035
20,0.484375,0.6162790697674418,0.5915711438239598,0.6991332764990054,12,2,3,4,1,2,1,4,0,2,1,14,6,0.030961990356445312
