index,train-micro-misclf-rate,test-micro-misclf-rate,train-macro-misclf-rate,test-macro-misclf-rate,n-labeled-samples,n-true-labels-0,n-false-labels-0,n-true-labels-1,n-false-labels-1,n-true-labels-2,n-false-labels-2,n-true-labels-3,n-false-labels-3,n-true-labels-4,n-false-labels-4,n-true-labels,n-false-labels,times
0,0.6777777777777778,0.6333333333333333,0.6434062538623162,0.665204678362573,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,0,0,0,0,1,0,0,0,0,0,1,0,8.893013000488281e-05
2,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,0,0,0,0,1,0,0,0,1,0,2,0,0.00011801719665527344
3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,0,1,0,0,1,0,0,0,1,0,2,1,0.00010800361633300781
4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,0,1,1,0,1,0,0,0,1,0,3,1,0.00011301040649414062
5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1,0,1,1,0,1,0,1,0,1,0,4,1,0.00010585784912109375
6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,0,2,1,0,1,0,1,0,1,0,4,2,0.00011205673217773438
7,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,0,2,1,0,2,0,1,0,1,0,5,2,0.00010704994201660156
8,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,0,2,1,0,2,0,1,1,1,0,5,3,0.00010919570922851562
9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,0,2,1,0,2,0,1,1,2,0,6,3,0.0001068115234375
10,0.32222222222222224,0.35,0.3333333333333333,0.3333333333333333,2,0,2,2,0,2,0,1,1,2,0,7,3,0.00018262863159179688
11,0.32222222222222224,0.35,0.3333333333333333,0.3333333333333333,3,0,2,2,0,2,0,1,1,3,0,8,3,0.00012969970703125
12,0.32222222222222224,0.35,0.3333333333333333,0.3333333333333333,3,0,2,2,1,2,0,1,1,3,0,8,4,0.00012087821960449219
13,0.32222222222222224,0.35,0.3333333333333333,0.3333333333333333,3,1,2,2,1,2,0,1,1,3,0,9,4,0.00012087821960449219
14,0.32222222222222224,0.35,0.3333333333333333,0.3333333333333333,3,1,2,2,1,2,0,2,1,3,0,10,4,0.00011968612670898438
15,0.32222222222222224,0.35,0.3333333333333333,0.3333333333333333,3,1,2,2,1,3,0,2,1,3,0,11,4,0.00011706352233886719
16,0.4,0.4166666666666667,0.41111111111111115,0.39999999999999997,4,1,2,2,1,3,1,2,1,3,0,11,5,0.00012111663818359375
17,0.32222222222222224,0.35,0.3333333333333333,0.3333333333333333,4,2,2,2,1,3,1,2,1,3,0,12,5,0.00011086463928222656
18,0.32222222222222224,0.35,0.3333333333333333,0.3333333333333333,4,2,2,2,1,3,1,2,1,4,0,13,5,0.00011181831359863281
19,0.32222222222222224,0.35,0.3333333333333333,0.3333333333333333,4,2,2,2,1,3,1,3,1,4,0,14,5,0.00010800361633300781
20,0.32222222222222224,0.35,0.3333333333333333,0.3333333333333333,4,2,2,2,2,3,1,3,1,4,0,14,6,0.00012183189392089844
21,0.3,0.3333333333333333,0.3096032628846867,0.31746031746031744,5,2,2,2,2,3,2,3,1,4,0,14,7,0.005769014358520508
22,0.3,0.3333333333333333,0.3096032628846867,0.31746031746031744,6,2,2,2,2,3,2,4,1,4,0,15,7,0.0003299713134765625
23,0.3,0.3333333333333333,0.3096032628846867,0.31746031746031744,7,2,2,2,2,4,2,4,1,4,0,16,7,0.0003039836883544922
24,0.3,0.3333333333333333,0.3096032628846867,0.31746031746031744,8,2,2,2,2,4,2,5,1,4,0,17,7,0.0003097057342529297
25,0.3,0.3333333333333333,0.3096032628846867,0.31746031746031744,9,2,2,2,2,4,2,6,1,4,0,18,7,0.0002899169921875
26,0.3,0.3333333333333333,0.3096032628846867,0.31746031746031744,10,2,2,2,2,4,3,6,1,4,0,18,8,0.00028705596923828125
27,0.3,0.3333333333333333,0.3096032628846867,0.31746031746031744,11,2,2,2,2,5,3,6,1,4,0,19,8,0.00027871131896972656
28,0.3,0.3333333333333333,0.3096032628846867,0.31746031746031744,12,2,2,2,2,5,4,6,1,4,0,19,9,0.0002899169921875
29,0.3,0.3333333333333333,0.3096032628846867,0.31746031746031744,13,2,2,2,2,5,5,6,1,4,0,19,10,0.000286102294921875
30,0.3,0.3333333333333333,0.3096032628846867,0.31746031746031744,14,2,2,2,2,5,6,6,1,4,0,19,11,0.00030112266540527344
31,0.3111111111111111,0.3333333333333333,0.3203559510567297,0.31746031746031744,15,2,2,2,2,5,7,6,1,4,0,19,12,0.0003330707550048828
32,0.34444444444444444,0.35,0.35261401557285876,0.33500417710944025,16,2,2,2,2,5,8,6,1,4,0,19,13,0.00026798248291015625
33,0.4,0.35,0.40637745643307377,0.33500417710944025,17,2,2,2,2,5,9,6,1,4,0,19,14,0.0002601146697998047
34,0.36666666666666664,0.35,0.37411939191694477,0.33500417710944025,18,2,2,2,2,6,9,6,1,4,0,20,14,0.0002651214599609375
35,0.4,0.35,0.40637745643307377,0.33500417710944025,19,2,2,2,2,6,10,6,1,4,0,20,15,0.0002551078796386719
36,0.4,0.35,0.40637745643307377,0.33500417710944025,20,2,2,2,2,6,11,6,1,4,0,20,16,0.0002560615539550781
37,0.43333333333333335,0.38333333333333336,0.43863552094920283,0.37009189640768586,21,2,2,2,2,6,12,6,1,4,0,20,17,0.0002570152282714844
38,0.4111111111111111,0.35,0.4171301446051168,0.33500417710944025,22,2,2,2,2,7,12,6,1,4,0,21,17,0.0002560615539550781
39,0.4111111111111111,0.35,0.4171301446051168,0.33500417710944025,23,2,2,2,2,7,13,6,1,4,0,21,18,0.0003762245178222656
40,0.4111111111111111,0.35,0.4171301446051168,0.33500417710944025,24,2,2,2,2,8,13,6,1,4,0,22,18,0.0002980232238769531
41,0.4111111111111111,0.35,0.4171301446051168,0.33500417710944025,25,2,2,2,2,8,14,6,1,4,0,22,19,0.0002791881561279297
42,0.4111111111111111,0.35,0.4171301446051168,0.33500417710944025,26,2,2,2,2,8,15,6,1,4,0,22,20,0.0002911090850830078
43,0.4888888888888889,0.5166666666666667,0.49239896180941783,0.5104427736006684,27,2,2,2,2,8,16,6,1,4,0,22,21,0.00028324127197265625
44,0.4888888888888889,0.5166666666666667,0.49239896180941783,0.5104427736006684,28,2,2,2,2,8,16,7,1,4,0,23,21,0.00027489662170410156
45,0.45555555555555555,0.48333333333333334,0.46014089729328883,0.4753550543024227,29,2,2,2,2,9,16,7,1,4,0,24,21,0.00028514862060546875
46,0.45555555555555555,0.48333333333333334,0.46014089729328883,0.4753550543024227,30,2,2,2,2,9,16,8,1,4,0,25,21,0.00026798248291015625
47,0.45555555555555555,0.48333333333333334,0.46014089729328883,0.4753550543024227,31,2,2,2,2,9,17,8,1,4,0,25,22,0.00038886070251464844
48,0.45555555555555555,0.48333333333333334,0.46014089729328883,0.4753550543024227,32,2,2,2,2,9,18,8,1,4,0,25,23,0.0002880096435546875
49,0.4111111111111111,0.35,0.4171301446051168,0.33500417710944025,33,2,2,2,2,10,18,8,1,4,0,26,23,0.00028896331787109375
50,0.4444444444444444,0.45,0.44938820912124583,0.4402673350041771,34,2,2,2,2,10,19,8,1,4,0,26,24,0.0002880096435546875
51,0.4444444444444444,0.45,0.44938820912124583,0.4402673350041771,35,2,2,2,2,10,19,8,2,4,0,26,25,0.0002818107604980469
52,0.4444444444444444,0.45,0.44938820912124583,0.4402673350041771,36,2,2,2,2,10,19,9,2,4,0,27,25,0.0002722740173339844
53,0.4444444444444444,0.45,0.44938820912124583,0.4402673350041771,37,2,2,2,2,10,19,9,3,4,0,27,26,0.00027108192443847656
54,0.4444444444444444,0.45,0.44938820912124583,0.4402673350041771,38,2,2,2,2,10,19,10,3,4,0,28,26,0.00026702880859375
55,0.4444444444444444,0.45,0.44938820912124583,0.4402673350041771,39,2,2,2,2,10,19,10,4,4,0,28,27,0.00026488304138183594
56,0.4444444444444444,0.45,0.44938820912124583,0.4402673350041771,40,2,2,2,2,10,19,11,4,4,0,29,27,0.0002779960632324219
57,0.45555555555555555,0.48333333333333334,0.460499320232357,0.47360066833751047,41,2,2,2,2,10,19,11,5,4,0,29,28,0.0002639293670654297
58,0.4444444444444444,0.5166666666666667,0.4478556420714374,0.5077276524644946,42,2,2,2,2,10,19,11,6,4,0,29,29,0.00026988983154296875
59,0.4222222222222222,0.48333333333333334,0.42563341984921516,0.4743943191311612,43,2,2,2,2,10,19,12,6,4,0,30,29,0.00027298927307128906
60,0.4222222222222222,0.48333333333333334,0.42563341984921516,0.4743943191311612,44,2,2,2,2,10,19,12,7,4,0,30,30,0.0003008842468261719
61,0.4111111111111111,0.48333333333333334,0.4145223087381041,0.4743943191311612,45,2,2,2,2,10,19,13,7,4,0,31,30,0.00030112266540527344
62,0.4111111111111111,0.48333333333333334,0.4145223087381041,0.4743943191311612,46,2,2,2,2,10,19,14,7,4,0,32,30,0.00028228759765625
63,0.4777777777777778,0.5166666666666667,0.4827215424545792,0.5069340016708438,47,2,2,2,2,10,19,14,8,4,0,32,31,0.0002818107604980469
64,0.43333333333333335,0.43333333333333335,0.43559510567296994,0.4275689223057644,48,2,2,2,2,10,19,14,9,4,0,32,32,0.00031113624572753906
