index,train-micro-misclf-rate,test-micro-misclf-rate,train-macro-misclf-rate,test-macro-misclf-rate,n-labeled-samples,n-true-labels-0,n-false-labels-0,n-true-labels-1,n-false-labels-1,n-true-labels-2,n-false-labels-2,n-true-labels-3,n-false-labels-3,n-true-labels-4,n-false-labels-4,n-true-labels,n-false-labels,times
0,0.6129032258064516,0.6693548387096774,0.6815257096990844,0.6859005859005859,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1,0.543010752688172,0.47580645161290325,0.6666666666666666,0.6666666666666666,1,1,0,0,0,0,0,0,0,0,0,1,0,0.0008502006530761719
2,0.543010752688172,0.47580645161290325,0.6666666666666666,0.6666666666666666,1,1,0,1,0,0,0,0,0,0,0,2,0,4.1961669921875e-05
3,0.543010752688172,0.47580645161290325,0.6666666666666666,0.6666666666666666,1,1,0,1,0,1,0,0,0,0,0,3,0,5.1975250244140625e-05
4,0.543010752688172,0.47580645161290325,0.6666666666666666,0.6666666666666666,1,1,0,1,0,1,0,1,0,0,0,4,0,4.792213439941406e-05
5,0.543010752688172,0.47580645161290325,0.6666666666666666,0.6666666666666666,1,1,0,1,0,1,0,1,0,1,0,5,0,5.2928924560546875e-05
6,0.34408602150537637,0.31451612903225806,0.4613134142545907,0.4476784476784477,2,1,1,1,0,1,0,1,0,1,0,5,1,0.0009038448333740234
7,0.34946236559139787,0.3225806451612903,0.4652349828820417,0.44892584892584897,2,1,1,1,1,1,0,1,0,1,0,5,2,3.886222839355469e-05
8,0.34408602150537637,0.33064516129032256,0.4585745409274821,0.4540540540540541,2,1,1,1,1,1,1,1,0,1,0,5,3,3.695487976074219e-05
9,0.34946236559139787,0.3225806451612903,0.4652349828820417,0.44892584892584897,2,1,1,1,1,1,1,1,1,1,0,5,4,3.600120544433594e-05
10,0.34408602150537637,0.31451612903225806,0.4613134142545907,0.4476784476784477,2,1,1,1,1,1,1,1,1,1,1,5,5,3.719329833984375e-05
11,0.3279569892473118,0.2903225806451613,0.45365701836290073,0.43229383229383234,3,2,1,1,1,1,1,1,1,1,1,6,5,0.0007669925689697266
12,0.3279569892473118,0.2903225806451613,0.45365701836290073,0.43229383229383234,3,2,1,1,2,1,1,1,1,1,1,6,6,3.2901763916015625e-05
13,0.3333333333333333,0.2903225806451613,0.458948023653906,0.4361746361746362,3,2,1,1,2,2,1,1,1,1,1,7,6,3.1948089599609375e-05
14,0.3387096774193548,0.2903225806451613,0.46423902894491126,0.4361746361746362,3,2,1,1,2,2,1,2,1,1,1,8,6,3.1948089599609375e-05
15,0.3387096774193548,0.2903225806451613,0.46423902894491126,0.4361746361746362,3,2,1,1,2,2,1,2,1,2,1,9,6,3.218650817871094e-05
16,0.3279569892473118,0.31451612903225806,0.45091814503579214,0.44379764379764386,4,2,2,1,2,2,1,2,1,2,1,9,7,0.0007259845733642578
17,0.3333333333333333,0.3064516129032258,0.4562091503267974,0.4225036225036225,4,2,2,1,2,3,1,2,1,2,1,10,7,3.1948089599609375e-05
18,0.3064516129032258,0.31451612903225806,0.398425803069766,0.3946575946575947,4,2,2,2,2,3,1,2,1,2,1,11,7,6.604194641113281e-05
19,0.3225806451612903,0.3064516129032258,0.44562713974478685,0.4225036225036225,4,2,2,2,2,3,1,2,2,2,1,11,8,4.100799560546875e-05
20,0.3010752688172043,0.3225806451612903,0.38828443658165024,0.3997857997857998,4,2,2,2,2,3,1,2,2,3,1,12,8,4.410743713378906e-05
21,0.3225806451612903,0.3225806451612903,0.40459809654856094,0.3735966735966736,5,2,2,2,2,4,1,2,2,3,1,13,8,0.0007429122924804688
22,0.34946236559139787,0.3467741935483871,0.42272183727292084,0.4006237006237006,5,3,2,2,2,4,1,2,2,3,1,14,8,3.695487976074219e-05
23,0.34408602150537637,0.3467741935483871,0.4188002686454699,0.4006237006237006,5,3,2,2,3,4,1,2,2,3,1,14,9,3.409385681152344e-05
24,0.3387096774193548,0.3387096774193548,0.40517797762379804,0.3854721854721855,5,3,2,2,3,4,1,2,2,4,1,15,9,3.6716461181640625e-05
25,0.34408602150537637,0.3548387096774194,0.4153193441119138,0.4034902034902035,5,3,2,2,3,4,1,2,3,4,1,15,10,3.409385681152344e-05
26,0.3655913978494624,0.3629032258064516,0.4142283814110439,0.40635670635670634,6,3,2,2,3,4,2,2,3,4,1,15,11,0.0008461475372314453
27,0.3387096774193548,0.3387096774193548,0.40517797762379804,0.3854721854721855,6,4,2,2,3,4,2,2,3,4,1,16,11,5.2928924560546875e-05
28,0.3118279569892473,0.3387096774193548,0.38568480023588386,0.3916146916146916,6,4,2,2,3,4,2,2,3,5,1,17,11,4.887580871582031e-05
29,0.3064516129032258,0.3387096774193548,0.3817632316084329,0.3916146916146916,6,4,2,2,4,4,2,2,3,5,1,17,12,3.695487976074219e-05
30,0.2849462365591398,0.3225806451612903,0.35786033711730303,0.3697158697158697,7,5,2,2,4,4,2,2,3,5,1,18,12,0.0007898807525634766
31,0.3010752688172043,0.3467741935483871,0.3737333529903189,0.39674289674289676,7,5,2,2,4,4,3,2,3,5,1,18,13,3.170967102050781e-05
32,0.2849462365591398,0.3064516129032258,0.3564909004537487,0.3516978516978517,7,5,2,2,4,4,3,2,3,6,1,19,13,3.075599670410156e-05
33,0.3172043010752688,0.3467741935483871,0.3854980588726719,0.39674289674289676,7,5,2,2,5,4,3,2,3,6,1,19,14,6.29425048828125e-05
34,0.3118279569892473,0.3467741935483871,0.38157649024522095,0.39674289674289676,8,5,2,2,5,4,4,2,3,6,1,19,15,0.0008788108825683594
35,0.3118279569892473,0.3467741935483871,0.38157649024522095,0.39674289674289676,8,5,3,2,5,4,4,2,3,6,1,19,16,5.6743621826171875e-05
36,0.3172043010752688,0.3467741935483871,0.3868674955362262,0.39674289674289676,8,5,3,2,5,4,4,2,3,7,1,20,16,4.291534423828125e-05
37,0.3172043010752688,0.3467741935483871,0.3868674955362262,0.39674289674289676,8,5,3,2,6,4,4,2,3,7,1,20,17,3.886222839355469e-05
38,0.3279569892473118,0.3467741935483871,0.3974495061182368,0.39674289674289676,8,5,3,2,6,4,4,2,4,7,1,20,18,3.695487976074219e-05
39,0.3279569892473118,0.3467741935483871,0.3835258079840123,0.3906003906003906,9,5,3,2,6,5,4,2,4,7,1,21,18,0.0009181499481201172
40,0.3387096774193548,0.3548387096774194,0.38018412043179844,0.3934668934668935,9,6,3,2,6,5,4,2,4,7,1,22,18,4.410743713378906e-05
41,0.3548387096774194,0.3387096774193548,0.38076400150703554,0.357021357021357,9,6,3,3,6,5,4,2,4,7,1,23,18,4.1961669921875e-05
42,0.3655913978494624,0.3709677419354839,0.3913460120890462,0.3891765891765892,9,6,3,3,6,5,4,2,4,8,1,24,18,4.315376281738281e-05
43,0.3817204301075269,0.3870967741935484,0.407219027962062,0.40719460719460726,9,6,3,3,6,5,4,3,4,8,1,25,18,4.601478576660156e-05
44,0.3548387096774194,0.3951612903225806,0.3598784543056989,0.41006111006111007,10,7,3,3,6,5,4,3,4,8,1,26,18,0.0008568763732910156
45,0.3763440860215054,0.3870967741935484,0.3984470981375006,0.40719460719460726,10,7,3,3,6,5,5,3,4,8,1,26,19,3.814697265625e-05
46,0.34946236559139787,0.3951612903225806,0.3511065244811375,0.41006111006111007,10,7,3,3,6,5,5,3,4,9,1,27,19,3.5762786865234375e-05
47,0.3763440860215054,0.3870967741935484,0.3984470981375006,0.40719460719460726,10,7,3,3,6,5,5,3,5,9,1,27,20,3.886222839355469e-05
48,0.3763440860215054,0.3870967741935484,0.4019280226710567,0.4133371133371133,10,7,3,3,7,5,5,3,5,9,1,27,21,3.504753112792969e-05
49,0.46774193548387094,0.4435483870967742,0.46859468933772336,0.45311535311535317,11,7,3,3,7,5,6,3,5,9,1,27,22,0.0008358955383300781
50,0.3763440860215054,0.3951612903225806,0.4019280226710567,0.4223461223461224,11,8,3,3,7,5,6,3,5,9,1,28,22,3.409385681152344e-05
51,0.3548387096774194,0.3790322580645161,0.3862417481612528,0.4120897120897122,11,8,3,4,7,5,6,3,5,9,1,29,22,3.5762786865234375e-05
52,0.34946236559139787,0.3709677419354839,0.3823201795338018,0.40696150696150696,11,8,3,4,7,5,6,4,5,9,1,30,22,3.600120544433594e-05
53,0.34408602150537637,0.3709677419354839,0.37839861090635085,0.40696150696150696,11,8,3,4,7,5,6,4,5,10,1,31,22,4.029273986816406e-05
54,0.3225806451612903,0.3467741935483871,0.3607155142758858,0.3860769860769861,12,8,3,4,7,6,6,4,5,10,1,32,22,0.0008606910705566406
55,0.3225806451612903,0.3467741935483871,0.3607155142758858,0.3860769860769861,12,8,4,4,7,6,6,4,5,10,1,32,23,3.886222839355469e-05
56,0.34408602150537637,0.3709677419354839,0.37839861090635085,0.40696150696150696,12,8,4,4,8,6,6,4,5,10,1,32,24,3.719329833984375e-05
57,0.34408602150537637,0.3709677419354839,0.37839861090635085,0.40696150696150696,12,8,4,4,8,6,6,4,6,10,1,32,25,3.5762786865234375e-05
58,0.3225806451612903,0.3467741935483871,0.3607155142758858,0.3860769860769861,12,8,4,4,8,6,6,4,6,11,1,33,25,3.695487976074219e-05
59,0.34946236559139787,0.3548387096774194,0.38368961619735614,0.3828009828009828,13,9,4,4,8,6,6,4,6,11,1,34,25,0.0008230209350585938
60,0.3225806451612903,0.3467741935483871,0.3607155142758858,0.3860769860769861,13,9,4,4,8,6,6,4,7,11,1,34,26,3.814697265625e-05
61,0.34946236559139787,0.3548387096774194,0.38368961619735614,0.3828009828009828,13,9,4,4,8,6,6,4,7,12,1,35,26,4.076957702636719e-05
62,0.3225806451612903,0.3467741935483871,0.3607155142758858,0.3860769860769861,13,9,4,4,8,6,7,4,7,12,1,35,27,9.274482727050781e-05
63,0.34946236559139787,0.3548387096774194,0.38368961619735614,0.3828009828009828,13,9,4,5,8,6,7,4,7,12,1,36,27,4.57763671875e-05
64,0.34946236559139787,0.3548387096774194,0.38368961619735614,0.3828009828009828,14,9,4,5,8,6,8,4,7,12,1,36,28,0.0009138584136962891
65,0.34946236559139787,0.3629032258064516,0.38020869166380006,0.3856674856674857,14,10,4,5,8,6,8,4,7,12,1,37,28,3.4809112548828125e-05
66,0.34946236559139787,0.3548387096774194,0.38368961619735614,0.3828009828009828,14,10,4,5,9,6,8,4,7,12,1,37,29,3.695487976074219e-05
67,0.34408602150537637,0.3629032258064516,0.3714367618392387,0.3856674856674857,14,10,4,5,9,6,8,4,7,13,1,38,29,3.314018249511719e-05
68,0.3387096774193548,0.3870967741935484,0.3591839074811211,0.39879039879039885,14,10,4,5,9,6,8,5,7,13,1,39,29,3.1948089599609375e-05
69,0.3817204301075269,0.4032258064516129,0.40151194980916344,0.4168084168084168,15,10,5,5,9,6,8,5,7,13,1,39,30,0.0007469654083251953
70,0.3387096774193548,0.3870967741935484,0.3591839074811211,0.39879039879039885,15,10,5,5,9,6,8,5,7,14,1,40,30,3.504753112792969e-05
71,0.3817204301075269,0.4032258064516129,0.40151194980916344,0.4168084168084168,15,10,5,5,9,6,8,5,8,14,1,40,31,3.361701965332031e-05
72,0.3817204301075269,0.4032258064516129,0.40151194980916344,0.4168084168084168,15,10,5,5,10,6,8,5,8,14,1,40,32,3.2901763916015625e-05
73,0.3817204301075269,0.4032258064516129,0.40151194980916344,0.4168084168084168,15,10,5,5,10,6,9,5,8,14,1,40,33,3.62396240234375e-05
74,0.3333333333333333,0.3951612903225806,0.3538929021901158,0.41006111006111007,16,10,5,5,10,7,9,5,8,14,1,41,33,0.0008168220520019531
75,0.3279569892473118,0.3790322580645161,0.3486018968991105,0.3920430920430921,16,11,5,5,10,7,9,5,8,14,1,42,33,3.504753112792969e-05
76,0.3279569892473118,0.3790322580645161,0.3486018968991105,0.3920430920430921,16,11,5,5,11,7,9,5,8,14,1,42,34,3.600120544433594e-05
77,0.3225806451612903,0.3629032258064516,0.3433108916081052,0.37402507402507407,16,11,5,5,11,7,9,5,8,15,1,43,34,5.602836608886719e-05
78,0.3225806451612903,0.3629032258064516,0.3433108916081052,0.37402507402507407,16,11,5,5,11,7,9,5,9,15,1,43,35,3.600120544433594e-05
79,0.3010752688172043,0.3387096774193548,0.322146870444084,0.346998046998047,17,12,5,5,11,7,9,5,9,15,1,44,35,0.0008149147033691406
80,0.3064516129032258,0.3387096774193548,0.33788064933575773,0.35314055314055315,17,12,5,5,11,7,9,5,9,16,1,45,35,3.314018249511719e-05
81,0.3010752688172043,0.3387096774193548,0.322146870444084,0.346998046998047,17,12,5,5,11,7,10,5,9,16,1,45,36,3.1948089599609375e-05
82,0.3010752688172043,0.3387096774193548,0.3325896440447524,0.35314055314055315,17,12,5,5,11,7,10,6,9,16,1,46,36,3.0994415283203125e-05
83,0.3010752688172043,0.33064516129032256,0.3325896440447524,0.34801234801234804,18,13,5,5,11,7,10,6,9,16,1,47,36,0.0007128715515136719
84,0.3010752688172043,0.3225806451612903,0.3325896440447524,0.34288414288414293,18,13,5,5,11,7,10,6,9,17,1,48,36,3.314018249511719e-05
85,0.3010752688172043,0.33064516129032256,0.3325896440447524,0.34801234801234804,18,13,5,5,11,7,10,6,10,17,1,48,37,3.2901763916015625e-05
86,0.3010752688172043,0.3387096774193548,0.3325896440447524,0.35314055314055315,18,13,5,5,11,7,11,6,10,17,1,48,38,3.123283386230469e-05
87,0.3010752688172043,0.33064516129032256,0.3325896440447524,0.34801234801234804,18,13,5,6,11,7,11,6,10,17,1,49,38,3.314018249511719e-05
88,0.2903225806451613,0.33064516129032256,0.3220076334627418,0.34801234801234804,19,14,5,6,11,7,11,6,10,17,1,50,38,0.0007929801940917969
89,0.2849462365591398,0.3225806451612903,0.31671662817173657,0.33900333900333895,19,14,5,6,11,7,11,6,10,18,1,51,38,3.600120544433594e-05
90,0.27956989247311825,0.31451612903225806,0.31279505954428555,0.33387513387513384,19,14,5,6,12,7,11,6,10,18,1,51,39,3.0994415283203125e-05
91,0.2903225806451613,0.33064516129032256,0.3220076334627418,0.34801234801234804,19,14,5,6,12,7,11,6,11,18,1,51,40,3.2901763916015625e-05
92,0.2849462365591398,0.31451612903225806,0.31808606483529084,0.33775593775593776,20,15,5,6,12,7,11,6,11,18,1,52,40,0.0007309913635253906
93,0.2849462365591398,0.3064516129032258,0.31808606483529084,0.33262773262773265,20,15,5,6,12,7,11,6,11,19,1,53,40,5.0067901611328125e-05
94,0.2849462365591398,0.3064516129032258,0.31808606483529084,0.33262773262773265,20,15,5,6,12,7,12,6,11,19,1,53,41,4.076957702636719e-05
95,0.2849462365591398,0.3064516129032258,0.31808606483529084,0.33262773262773265,20,15,5,7,12,7,12,6,11,19,1,54,41,4.124641418457031e-05
96,0.27419354838709675,0.28225806451612906,0.30750405425328026,0.30560070560070557,21,16,5,7,12,7,12,6,11,19,1,55,41,0.0008709430694580078
97,0.27419354838709675,0.27419354838709675,0.30613461758972593,0.30273420273420276,21,16,5,7,12,7,12,6,11,20,1,56,41,3.886222839355469e-05
98,0.27956989247311825,0.28225806451612906,0.3114256228807312,0.3017199017199017,21,16,5,7,13,7,12,6,11,20,1,56,42,3.6716461181640625e-05
99,0.2903225806451613,0.31451612903225806,0.3171572722656314,0.33775593775593776,21,16,5,7,13,7,13,6,11,20,1,56,43,3.790855407714844e-05
100,0.2849462365591398,0.31451612903225806,0.31808606483529084,0.33775593775593776,21,16,5,7,13,7,13,6,12,20,1,56,44,3.314018249511719e-05
101,0.2849462365591398,0.3064516129032258,0.31808606483529084,0.33262773262773265,22,17,5,7,13,7,13,6,12,20,1,57,44,0.0008640289306640625
102,0.2849462365591398,0.3064516129032258,0.31808606483529084,0.3426510426510427,22,17,5,7,13,7,13,6,12,21,1,58,44,3.314018249511719e-05
103,0.2849462365591398,0.3064516129032258,0.31808606483529084,0.3526743526743527,22,17,5,8,13,7,13,6,12,21,1,59,44,4.100799560546875e-05
104,0.27956989247311825,0.3064516129032258,0.31279505954428555,0.3526743526743527,22,17,5,8,13,7,14,6,12,21,1,59,45,3.814697265625e-05
105,0.26881720430107525,0.2661290322580645,0.3056939734958311,0.3076293076293076,23,18,5,8,13,7,14,6,12,21,1,60,45,0.0008120536804199219
106,0.26344086021505375,0.28225806451612906,0.3004029682048258,0.32790902790902793,23,18,5,8,13,7,14,6,12,22,1,61,45,4.1961669921875e-05
107,0.26344086021505375,0.28225806451612906,0.3004029682048258,0.33178983178983185,24,19,5,8,13,7,14,6,12,22,1,62,45,0.0007808208465576172
108,0.26881720430107525,0.27419354838709675,0.3056939734958311,0.3266616266616267,24,19,5,8,13,7,14,6,12,23,1,63,45,3.3855438232421875e-05
109,0.26344086021505375,0.2661290322580645,0.3004029682048258,0.3137718137718138,25,20,5,8,13,7,14,6,12,23,1,64,45,0.0007901191711425781
110,0.25268817204301075,0.2661290322580645,0.2898209576228152,0.30601020601020607,25,20,5,8,13,7,14,6,12,24,1,65,45,4.982948303222656e-05
111,0.24731182795698925,0.25806451612903225,0.28452995233180994,0.29700119700119704,25,20,5,9,13,7,14,6,12,24,1,66,45,3.910064697265625e-05
112,0.25268817204301075,0.2661290322580645,0.2898209576228152,0.30601020601020607,26,20,6,9,13,7,14,6,12,24,1,66,46,0.0008571147918701172
113,0.24731182795698925,0.25806451612903225,0.2858993889953642,0.30088200088200096,26,20,6,9,13,7,14,6,12,25,1,67,46,4.601478576660156e-05
114,0.24731182795698925,0.25,0.2858993889953642,0.2957537957537958,26,20,6,10,13,7,14,6,12,25,1,68,46,4.00543212890625e-05
115,0.25806451612903225,0.25,0.2978508362409291,0.29963459963459965,27,20,6,10,13,7,14,6,12,26,1,69,46,0.000843048095703125
116,0.26881720430107525,0.25806451612903225,0.30843284682293964,0.3086436086436086,27,21,6,10,13,7,14,6,12,26,1,70,46,3.790855407714844e-05
117,0.25268817204301075,0.25,0.2960407554834799,0.29963459963459965,27,21,6,10,14,7,14,6,12,26,1,70,47,4.1961669921875e-05
118,0.24193548387096775,0.23387096774193547,0.28408930823791506,0.27773577773577773,27,21,6,10,14,7,15,6,12,26,1,70,48,3.886222839355469e-05
119,0.22043010752688172,0.22580645161290322,0.26640621160745,0.26872676872676876,28,22,6,10,14,7,15,6,12,26,1,71,48,0.0008211135864257812
120,0.23118279569892472,0.23387096774193547,0.28743099579012893,0.27385497385497387,28,22,6,10,14,7,15,6,12,27,1,72,48,3.4809112548828125e-05
121,0.22580645161290322,0.25,0.28213999049912364,0.2941346941346941,28,22,6,11,14,7,15,6,12,27,1,73,48,3.600120544433594e-05
122,0.22580645161290322,0.25806451612903225,0.2807705538355693,0.30928620928620926,28,22,6,11,14,8,15,6,12,27,1,74,48,5.602836608886719e-05
123,0.22580645161290322,0.25806451612903225,0.2877324029026815,0.30928620928620926,29,22,6,11,14,8,15,6,12,28,1,75,48,0.0008859634399414062
124,0.22580645161290322,0.2661290322580645,0.2912133274362377,0.3244377244377244,29,23,6,11,14,8,15,6,12,28,1,76,48,3.981590270996094e-05
125,0.22580645161290322,0.25806451612903225,0.2877324029026815,0.30928620928620926,29,23,6,11,15,8,15,6,12,28,1,76,49,3.409385681152344e-05
126,0.23655913978494625,0.27419354838709675,0.2920946156240274,0.31954261954261953,30,24,6,11,15,8,15,6,12,28,1,77,49,0.0008130073547363281
127,0.23655913978494625,0.28225806451612906,0.2872442544269169,0.31852831852831853,30,24,6,11,15,8,15,6,12,29,1,78,49,3.409385681152344e-05
128,0.24193548387096775,0.2903225806451613,0.29601618425147835,0.33367983367983367,31,24,7,11,15,8,15,6,12,29,1,78,50,0.0007789134979248047
129,0.23655913978494625,0.28225806451612906,0.2872442544269169,0.31852831852831853,31,24,7,11,15,8,15,6,12,30,1,79,50,3.600120544433594e-05
130,0.23655913978494625,0.28225806451612906,0.28239389322980657,0.31852831852831853,31,24,7,12,15,8,15,6,12,30,1,80,50,3.3855438232421875e-05
131,0.24193548387096775,0.2903225806451613,0.29116582305436794,0.33367983367983367,32,24,7,12,15,8,15,6,12,31,1,81,50,0.0007920265197753906
132,0.24193548387096775,0.2903225806451613,0.2897963863908136,0.33367983367983367,32,25,7,12,15,8,15,6,12,31,1,82,50,3.504753112792969e-05
133,0.24193548387096775,0.2903225806451613,0.2897963863908136,0.33982233982233984,32,25,7,13,15,8,15,6,12,31,1,83,50,3.2901763916015625e-05
134,0.24193548387096775,0.2903225806451613,0.2897963863908136,0.33367983367983367,32,25,7,13,15,8,16,6,12,31,1,83,51,3.5762786865234375e-05
135,0.23118279569892472,0.2903225806451613,0.28195324913591163,0.33367983367983367,33,26,7,13,15,8,16,6,12,31,1,84,51,0.0008068084716796875
136,0.23118279569892472,0.2903225806451613,0.28195324913591163,0.33367983367983367,33,26,7,13,15,8,16,6,12,32,1,85,51,3.409385681152344e-05
137,0.23118279569892472,0.2903225806451613,0.28195324913591163,0.33367983367983367,33,26,7,13,16,8,16,6,12,32,1,85,52,3.2901763916015625e-05
138,0.23118279569892472,0.28225806451612906,0.28195324913591163,0.32855162855162856,33,26,7,13,16,8,16,7,12,32,1,86,52,3.314018249511719e-05
139,0.23655913978494625,0.2661290322580645,0.29072517896047306,0.31053361053361056,34,26,7,13,16,8,16,7,12,33,1,87,52,0.0008060932159423828
140,0.22580645161290322,0.2661290322580645,0.2801431683784625,0.31053361053361056,34,27,7,13,16,8,16,7,12,33,1,88,52,3.600120544433594e-05
141,0.22043010752688172,0.29838709677419356,0.2748521630874572,0.3611163611163611,34,27,7,14,16,8,16,7,12,33,1,89,52,3.1948089599609375e-05
142,0.23655913978494625,0.29838709677419356,0.3011679525611414,0.3611163611163611,34,27,7,14,16,8,16,8,12,33,1,90,52,3.24249267578125e-05
143,0.22043010752688172,0.3064516129032258,0.2852949366881255,0.3662445662445662,35,28,7,14,16,8,16,8,12,33,1,91,52,0.0008008480072021484
144,0.21505376344086022,0.3064516129032258,0.28000393139712026,0.3662445662445662,35,28,7,14,16,8,16,8,12,34,1,92,52,3.314018249511719e-05
145,0.22043010752688172,0.3064516129032258,0.2852949366881255,0.3662445662445662,35,28,7,14,17,8,16,8,12,34,1,92,53,3.218650817871094e-05
146,0.22043010752688172,0.3064516129032258,0.2852949366881255,0.3662445662445662,35,28,7,14,17,8,16,8,13,34,1,92,54,4.601478576660156e-05
147,0.22043010752688172,0.3064516129032258,0.2852949366881255,0.3662445662445662,36,28,7,14,17,8,16,8,13,35,1,93,54,0.0008358955383300781
148,0.22043010752688172,0.3064516129032258,0.2852949366881255,0.3662445662445662,36,28,8,14,17,8,16,8,13,35,1,93,55,3.409385681152344e-05
149,0.23118279569892472,0.3064516129032258,0.2945075106065818,0.3662445662445662,36,28,8,14,18,8,16,8,13,35,1,93,56,3.409385681152344e-05
150,0.23655913978494625,0.29838709677419356,0.29979851589758716,0.3611163611163611,37,29,8,14,18,8,16,8,13,35,1,94,56,0.0008220672607421875
151,0.23118279569892472,0.29838709677419356,0.2945075106065818,0.3611163611163611,37,29,8,14,18,8,16,8,13,35,2,94,57,3.695487976074219e-05
152,0.23655913978494625,0.29838709677419356,0.29979851589758716,0.3611163611163611,37,29,8,15,18,8,16,8,13,35,2,95,57,3.886222839355469e-05
153,0.24193548387096775,0.29838709677419356,0.3050895211885924,0.3611163611163611,37,29,8,15,18,9,16,8,13,35,2,96,57,4.00543212890625e-05
154,0.23655913978494625,0.29838709677419356,0.29979851589758716,0.3611163611163611,38,30,8,15,18,9,16,8,13,35,2,97,57,0.0008018016815185547
155,0.23118279569892472,0.29838709677419356,0.2945075106065818,0.3611163611163611,38,30,8,15,18,9,16,8,13,36,2,98,57,3.6716461181640625e-05
156,0.23655913978494625,0.29838709677419356,0.29979851589758716,0.3611163611163611,38,30,8,15,19,9,16,8,13,36,2,98,58,4.315376281738281e-05
157,0.23655913978494625,0.29838709677419356,0.29979851589758716,0.3611163611163611,39,31,8,15,19,9,16,8,13,36,2,99,58,0.0008718967437744141
158,0.23118279569892472,0.29838709677419356,0.2945075106065818,0.3611163611163611,39,31,8,15,19,9,16,8,13,37,2,100,58,3.600120544433594e-05
159,0.22580645161290322,0.29838709677419356,0.29058594197913085,0.3611163611163611,40,32,8,15,19,9,16,8,13,37,2,101,58,0.0008358955383300781
160,0.22580645161290322,0.29838709677419356,0.29058594197913085,0.3611163611163611,40,32,8,15,19,9,16,8,13,38,2,102,58,3.62396240234375e-05
161,0.22580645161290322,0.29838709677419356,0.29058594197913085,0.3611163611163611,41,33,8,15,19,9,16,8,13,38,2,103,58,0.000782012939453125
